iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=2024 | T=367509 | NewBest=1.104e+06 | Δ=8 | ImproveTotal=85
[IMPROVE] Iter=2027 | T=367509 | NewBest=1.10399e+06 | Δ=3 | ImproveTotal=86
[IMPROVE] Iter=2034 | T=367142 | NewBest=1.10392e+06 | Δ=71 | ImproveTotal=87
[IMPROVE] Iter=2104 | T=364579 | NewBest=1.09393e+06 | Δ=572394 | ImproveTotal=88
[IMPROVE] Iter=2122 | T=363851 | NewBest=1.09391e+06 | Δ=57 | ImproveTotal=89
[IMPROVE] Iter=2168 | T=362397 | NewBest=1.08297e+06 | Δ=11468 | ImproveTotal=90
[IMPROVE] Iter=2172 | T=362035 | NewBest=1.08289e+06 | Δ=78 | ImproveTotal=91
[IMPROVE] Iter=2200 | T=361311 | NewBest=1.07715e+06 | Δ=6068 | ImproveTotal=92
[IMPROVE] Iter=2230 | T=360228 | NewBest=1.06807e+06 | Δ=9399 | ImproveTotal=93
[IMPROVE] Iter=2234 | T=359868 | NewBest=1.06805e+06 | Δ=35 | ImproveTotal=94
[IMPROVE] Iter=2312 | T=356999 | NewBest=1.06676e+06 | Δ=2840 | ImproveTotal=95
[IMPROVE] Iter=2313 | T=356999 | NewBest=1.06673e+06 | Δ=31 | ImproveTotal=96
[IMPROVE] Iter=2314 | T=356999 | NewBest=1.06664e+06 | Δ=88 | ImproveTotal=97
[IMPROVE] Iter=2401 | T=353799 | NewBest=1.06406e+06 | Δ=4911 | ImproveTotal=98
[IMPROVE] Iter=2403 | T=353799 | NewBest=1.06404e+06 | Δ=12 | ImproveTotal=99
[IMPROVE] Iter=2409 | T=353799 | NewBest=1.06404e+06 | Δ=1 | ImproveTotal=100
[IMPROVE] Iter=2412 | T=353445 | NewBest=1.06401e+06 | Δ=35 | ImproveTotal=101
[IMPROVE] Iter=2416 | T=353445 | NewBest=1.06392e+06 | Δ=129 | ImproveTotal=102
[IMPROVE] Iter=2470 | T=351682 | NewBest=1.05374e+06 | Δ=11030 | ImproveTotal=103
[IMPROVE] Iter=2471 | T=351330 | NewBest=1.0536e+06 | Δ=137 | ImproveTotal=104
[IMPROVE] Iter=2475 | T=351330 | NewBest=1.05342e+06 | Δ=393 | ImproveTotal=105
[IMPROVE] Iter=2476 | T=351330 | NewBest=1.05331e+06 | Δ=112 | ImproveTotal=106
[IMPROVE] Iter=2668 | T=344714 | NewBest=1.04983e+06 | Δ=5424 | ImproveTotal=107
[IMPROVE] Iter=2671 | T=344370 | NewBest=1.03888e+06 | Δ=11050 | ImproveTotal=108
[IMPROVE] Iter=2680 | T=344370 | NewBest=1.0388e+06 | Δ=127 | ImproveTotal=109
[IMPROVE] Iter=2692 | T=343681 | NewBest=1.03688e+06 | Δ=1950 | ImproveTotal=110
[IMPROVE] Iter=2773 | T=340941 | NewBest=1.02954e+06 | Δ=8591 | ImproveTotal=111
[IMPROVE] Iter=2793 | T=340260 | NewBest=1.02026e+06 | Δ=9362 | ImproveTotal=112
[IMPROVE] Iter=2797 | T=340260 | NewBest=1.02003e+06 | Δ=236 | ImproveTotal=113
[IMPROVE] Iter=2801 | T=339920 | NewBest=1.01998e+06 | Δ=52 | ImproveTotal=114
[IMPROVE] Iter=2806 | T=339920 | NewBest=1.01996e+06 | Δ=14 | ImproveTotal=115
[IMPROVE] Iter=2807 | T=339920 | NewBest=1.01991e+06 | Δ=53 | ImproveTotal=116
[IMPROVE] Iter=2827 | T=339240 | NewBest=1.01945e+06 | Δ=1198 | ImproveTotal=117
[IMPROVE] Iter=2858 | T=338223 | NewBest=1.01931e+06 | Δ=218 | ImproveTotal=118
[IMPROVE] Iter=2859 | T=338223 | NewBest=1.01926e+06 | Δ=43 | ImproveTotal=119
[IMPROVE] Iter=2860 | T=338223 | NewBest=1.01926e+06 | Δ=8 | ImproveTotal=120
[IMPROVE] Iter=2870 | T=337885 | NewBest=1.01373e+06 | Δ=5574 | ImproveTotal=121
[IMPROVE] Iter=2871 | T=337547 | NewBest=1.01372e+06 | Δ=15 | ImproveTotal=122
[IMPROVE] Iter=2991 | T=333519 | NewBest=1.00784e+06 | Δ=6695 | ImproveTotal=123
[IMPROVE] Iter=3137 | T=328880 | NewBest=1.00356e+06 | Δ=4738 | ImproveTotal=124
[IMPROVE] Iter=3196 | T=326912 | NewBest=1.00337e+06 | Δ=336354 | ImproveTotal=125
[IMPROVE] Iter=3207 | T=326585 | NewBest=992934 | Δ=10440 | ImproveTotal=126
[IMPROVE] Iter=3265 | T=324630 | NewBest=983597 | Δ=10267 | ImproveTotal=127
[IMPROVE] Iter=3274 | T=324305 | NewBest=983552 | Δ=92 | ImproveTotal=128
[IMPROVE] Iter=3363 | T=321398 | NewBest=983331 | Δ=2501 | ImproveTotal=129
[IMPROVE] Iter=3411 | T=319795 | NewBest=980285 | Δ=4441 | ImproveTotal=130
[IMPROVE] Iter=3412 | T=319795 | NewBest=980251 | Δ=34 | ImproveTotal=131
[IMPROVE] Iter=3416 | T=319795 | NewBest=980134 | Δ=145 | ImproveTotal=132
[IMPROVE] Iter=3424 | T=319475 | NewBest=978668 | Δ=1466 | ImproveTotal=133
[IMPROVE] Iter=3427 | T=319475 | NewBest=976334 | Δ=2374 | ImproveTotal=134
[IMPROVE] Iter=3432 | T=319155 | NewBest=973981 | Δ=2423 | ImproveTotal=135
[IMPROVE] Iter=3440 | T=319155 | NewBest=973746 | Δ=259 | ImproveTotal=136
[IMPROVE] Iter=3474 | T=317881 | NewBest=973714 | Δ=6015 | ImproveTotal=137
[IMPROVE] Iter=3500 | T=317245 | NewBest=973595 | Δ=238004 | ImproveTotal=138
[IMPROVE] Iter=3516 | T=316611 | NewBest=973418 | Δ=1832 | ImproveTotal=139
[IMPROVE] Iter=3522 | T=316294 | NewBest=973400 | Δ=18 | ImproveTotal=140
[IMPROVE] Iter=3526 | T=316294 | NewBest=973081 | Δ=319 | ImproveTotal=141
[IMPROVE] Iter=3530 | T=316294 | NewBest=972321 | Δ=760 | ImproveTotal=142
[IMPROVE] Iter=3535 | T=315978 | NewBest=972272 | Δ=65 | ImproveTotal=143
[IMPROVE] Iter=3539 | T=315978 | NewBest=972171 | Δ=101 | ImproveTotal=144
[IMPROVE] Iter=3540 | T=315978 | NewBest=972077 | Δ=94 | ImproveTotal=145
[IMPROVE] Iter=3563 | T=315031 | NewBest=971857 | Δ=370020 | ImproveTotal=146
[IMPROVE] Iter=3581 | T=314401 | NewBest=971334 | Δ=14416 | ImproveTotal=147
[IMPROVE] Iter=3588 | T=314401 | NewBest=961389 | Δ=68424 | ImproveTotal=148
[IMPROVE] Iter=3589 | T=314401 | NewBest=961332 | Δ=57 | ImproveTotal=149
[IMPROVE] Iter=3592 | T=314087 | NewBest=961324 | Δ=8 | ImproveTotal=150
[IMPROVE] Iter=3593 | T=314087 | NewBest=961258 | Δ=66 | ImproveTotal=151
[IMPROVE] Iter=3623 | T=313146 | NewBest=958379 | Δ=3485 | ImproveTotal=152
[IMPROVE] Iter=3627 | T=313146 | NewBest=958361 | Δ=18 | ImproveTotal=153
[IMPROVE] Iter=3629 | T=313146 | NewBest=958279 | Δ=82 | ImproveTotal=154
[IMPROVE] Iter=3636 | T=312832 | NewBest=958107 | Δ=245135 | ImproveTotal=155
[IMPROVE] Iter=3660 | T=312207 | NewBest=957897 | Δ=22017 | ImproveTotal=156
[IMPROVE] Iter=3892 | T=304800 | NewBest=949262 | Δ=10231 | ImproveTotal=157
[IMPROVE] Iter=3894 | T=304800 | NewBest=949238 | Δ=24 | ImproveTotal=158
[IMPROVE] Iter=3899 | T=304800 | NewBest=949163 | Δ=90 | ImproveTotal=159
[IMPROVE] Iter=3900 | T=304800 | NewBest=948942 | Δ=221 | ImproveTotal=160
[IMPROVE] Iter=3903 | T=304495 | NewBest=948761 | Δ=181 | ImproveTotal=161
[IMPROVE] Iter=3904 | T=304495 | NewBest=948615 | Δ=146 | ImproveTotal=162
[IMPROVE] Iter=3932 | T=303582 | NewBest=947702 | Δ=1875 | ImproveTotal=163
[IMPROVE] Iter=3935 | T=303582 | NewBest=947678 | Δ=24 | ImproveTotal=164
[IMPROVE] Iter=3940 | T=303582 | NewBest=947634 | Δ=95 | ImproveTotal=165
[IMPROVE] Iter=3944 | T=303279 | NewBest=947611 | Δ=23 | ImproveTotal=166
[IMPROVE] Iter=3966 | T=302672 | NewBest=947437 | Δ=212 | ImproveTotal=167
[IMPROVE] Iter=4038 | T=300560 | NewBest=942769 | Δ=9892 | ImproveTotal=168
[IMPROVE] Iter=4048 | T=300259 | NewBest=933672 | Δ=9651 | ImproveTotal=169
[IMPROVE] Iter=4051 | T=299959 | NewBest=933668 | Δ=4 | ImproveTotal=170
[IMPROVE] Iter=4068 | T=299659 | NewBest=933460 | Δ=215 | ImproveTotal=171
[IMPROVE] Iter=4069 | T=299659 | NewBest=933422 | Δ=38 | ImproveTotal=172
[IMPROVE] Iter=4074 | T=299360 | NewBest=933347 | Δ=109 | ImproveTotal=173
[IMPROVE] Iter=4101 | T=298462 | NewBest=933266 | Δ=192 | ImproveTotal=174
[IMPROVE] Iter=4110 | T=298462 | NewBest=933158 | Δ=183 | ImproveTotal=175
[IMPROVE] Iter=4204 | T=295491 | NewBest=927645 | Δ=6659 | ImproveTotal=176
[IMPROVE] Iter=4206 | T=295491 | NewBest=927489 | Δ=156 | ImproveTotal=177
[IMPROVE] Iter=4223 | T=294901 | NewBest=927409 | Δ=281139 | ImproveTotal=178
[IMPROVE] Iter=4236 | T=294606 | NewBest=924723 | Δ=2736 | ImproveTotal=179
[IMPROVE] Iter=4240 | T=294606 | NewBest=924584 | Δ=139 | ImproveTotal=180
[IMPROVE] Iter=4243 | T=294311 | NewBest=924460 | Δ=124 | ImproveTotal=181
[IMPROVE] Iter=4334 | T=291673 | NewBest=924241 | Δ=958 | ImproveTotal=182
[IMPROVE] Iter=4339 | T=291673 | NewBest=919083 | Δ=5293 | ImproveTotal=183
[IMPROVE] Iter=4340 | T=291673 | NewBest=919062 | Δ=21 | ImproveTotal=184
[IMPROVE] Iter=4431 | T=288769 | NewBest=917581 | Δ=5382 | ImproveTotal=185
[IMPROVE] Iter=4436 | T=288769 | NewBest=917545 | Δ=52 | ImproveTotal=186
[IMPROVE] Iter=4477 | T=287616 | NewBest=912864 | Δ=5516 | ImproveTotal=187
[IMPROVE] Iter=4478 | T=287616 | NewBest=912840 | Δ=24 | ImproveTotal=188
[IMPROVE] Iter=4494 | T=287041 | NewBest=908440 | Δ=4992 | ImproveTotal=189
[IMPROVE] Iter=4498 | T=287041 | NewBest=908435 | Δ=25 | ImproveTotal=190
[IMPROVE] Iter=4500 | T=287041 | NewBest=908427 | Δ=8 | ImproveTotal=191
[IMPROVE] Iter=4557 | T=285323 | NewBest=908216 | Δ=381 | ImproveTotal=192
[IMPROVE] Iter=4641 | T=282765 | NewBest=900718 | Δ=7952 | ImproveTotal=193
[IMPROVE] Iter=4649 | T=282765 | NewBest=897269 | Δ=8688 | ImproveTotal=194
[IMPROVE] Iter=4655 | T=282482 | NewBest=897262 | Δ=7 | ImproveTotal=195
[IMPROVE] Iter=4659 | T=282482 | NewBest=897150 | Δ=114 | ImproveTotal=196
[IMPROVE] Iter=4660 | T=282482 | NewBest=897127 | Δ=23 | ImproveTotal=197
[IMPROVE] Iter=4661 | T=282200 | NewBest=897017 | Δ=110 | ImproveTotal=198
[IMPROVE] Iter=4663 | T=282200 | NewBest=893071 | Δ=3946 | ImproveTotal=199
[IMPROVE] Iter=4671 | T=281918 | NewBest=889615 | Δ=3577 | ImproveTotal=200
[IMPROVE] Iter=4682 | T=281636 | NewBest=889439 | Δ=395 | ImproveTotal=201
[IMPROVE] Iter=4687 | T=281636 | NewBest=889408 | Δ=31 | ImproveTotal=202
[IMPROVE] Iter=4689 | T=281636 | NewBest=889392 | Δ=16 | ImproveTotal=203
[IMPROVE] Iter=4776 | T=279111 | NewBest=889077 | Δ=1963 | ImproveTotal=204
[IMPROVE] Iter=4779 | T=279111 | NewBest=883125 | Δ=5952 | ImproveTotal=205
[IMPROVE] Iter=4792 | T=278553 | NewBest=882949 | Δ=191 | ImproveTotal=206
[IMPROVE] Iter=4817 | T=277997 | NewBest=879657 | Δ=3589 | ImproveTotal=207
[IMPROVE] Iter=4822 | T=277719 | NewBest=879495 | Δ=162 | ImproveTotal=208
[IMPROVE] Iter=4830 | T=277719 | NewBest=870038 | Δ=336173 | ImproveTotal=209
[IMPROVE] Iter=4836 | T=277441 | NewBest=869935 | Δ=103 | ImproveTotal=210
[IMPROVE] Iter=4841 | T=277163 | NewBest=860922 | Δ=9069 | ImproveTotal=211
[IMPROVE] Iter=5040 | T=271944 | NewBest=852521 | Δ=8919 | ImproveTotal=212
[IMPROVE] Iter=5052 | T=271401 | NewBest=850663 | Δ=2114 | ImproveTotal=213
[IMPROVE] Iter=5155 | T=268699 | NewBest=847687 | Δ=4111 | ImproveTotal=214
[IMPROVE] Iter=5156 | T=268699 | NewBest=847606 | Δ=81 | ImproveTotal=215
[IMPROVE] Iter=5160 | T=268699 | NewBest=847436 | Δ=170 | ImproveTotal=216
[IMPROVE] Iter=5164 | T=268430 | NewBest=847411 | Δ=25 | ImproveTotal=217
[IMPROVE] Iter=5312 | T=264432 | NewBest=840875 | Δ=8955 | ImproveTotal=218
[IMPROVE] Iter=5313 | T=264432 | NewBest=840797 | Δ=78 | ImproveTotal=219
[IMPROVE] Iter=5314 | T=264432 | NewBest=840762 | Δ=35 | ImproveTotal=220
[IMPROVE] Iter=5316 | T=264432 | NewBest=840744 | Δ=18 | ImproveTotal=221
[IMPROVE] Iter=5320 | T=264432 | NewBest=840599 | Δ=363 | ImproveTotal=222
[IMPROVE] Iter=5323 | T=264167 | NewBest=840348 | Δ=271 | ImproveTotal=223
[IMPROVE] Iter=5325 | T=264167 | NewBest=840210 | Δ=138 | ImproveTotal=224
[IMPROVE] Iter=5336 | T=263903 | NewBest=840167 | Δ=64 | ImproveTotal=225
[IMPROVE] Iter=5346 | T=263639 | NewBest=839942 | Δ=256 | ImproveTotal=226
[IMPROVE] Iter=5389 | T=262586 | NewBest=839888 | Δ=288782 | ImproveTotal=227
[IMPROVE] Iter=5397 | T=262324 | NewBest=839758 | Δ=12871 | ImproveTotal=228
[IMPROVE] Iter=5401 | T=262061 | NewBest=839612 | Δ=146 | ImproveTotal=229
[IMPROVE] Iter=5423 | T=261538 | NewBest=831822 | Δ=51247 | ImproveTotal=230
[IMPROVE] Iter=5456 | T=260754 | NewBest=828830 | Δ=3147 | ImproveTotal=231
[IMPROVE] Iter=5460 | T=260754 | NewBest=828634 | Δ=196 | ImproveTotal=232
[IMPROVE] Iter=5468 | T=260493 | NewBest=828536 | Δ=237 | ImproveTotal=233
[IMPROVE] Iter=5470 | T=260493 | NewBest=828419 | Δ=117 | ImproveTotal=234
[IMPROVE] Iter=5471 | T=260233 | NewBest=828413 | Δ=6 | ImproveTotal=235
[IMPROVE] Iter=5477 | T=260233 | NewBest=828153 | Δ=339 | ImproveTotal=236
[IMPROVE] Iter=5482 | T=259972 | NewBest=827967 | Δ=186 | ImproveTotal=237
[IMPROVE] Iter=5483 | T=259972 | NewBest=827849 | Δ=118 | ImproveTotal=238
[IMPROVE] Iter=5702 | T=254313 | NewBest=825514 | Δ=3641 | ImproveTotal=239
[IMPROVE] Iter=5764 | T=252790 | NewBest=825457 | Δ=491 | ImproveTotal=240
[IMPROVE] Iter=5769 | T=252790 | NewBest=825413 | Δ=44 | ImproveTotal=241
[IMPROVE] Iter=5770 | T=252790 | NewBest=825234 | Δ=179 | ImproveTotal=242
[IMPROVE] Iter=5937 | T=248527 | NewBest=824018 | Δ=7446 | ImproveTotal=243
[IMPROVE] Iter=5947 | T=248279 | NewBest=822974 | Δ=1372 | ImproveTotal=244
[IMPROVE] Iter=5950 | T=248279 | NewBest=822871 | Δ=103 | ImproveTotal=245
[IMPROVE] Iter=5956 | T=248030 | NewBest=817947 | Δ=5374 | ImproveTotal=246
[IMPROVE] Iter=5960 | T=248030 | NewBest=817859 | Δ=88 | ImproveTotal=247
[IMPROVE] Iter=5962 | T=247782 | NewBest=817718 | Δ=141 | ImproveTotal=248
[IMPROVE] Iter=5964 | T=247782 | NewBest=817701 | Δ=17 | ImproveTotal=249
[IMPROVE] Iter=5968 | T=247782 | NewBest=817514 | Δ=187 | ImproveTotal=250
[IMPROVE] Iter=5969 | T=247782 | NewBest=817418 | Δ=96 | ImproveTotal=251
