iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=1689 | T=39970.6 | NewBest=122512 | Δ=93 | ImproveTotal=93
[IMPROVE] Iter=1721 | T=39810.9 | NewBest=122497 | Δ=321 | ImproveTotal=94
[IMPROVE] Iter=1731 | T=39771.1 | NewBest=121778 | Δ=834 | ImproveTotal=95
[IMPROVE] Iter=1743 | T=39731.4 | NewBest=121748 | Δ=62 | ImproveTotal=96
[IMPROVE] Iter=1745 | T=39731.4 | NewBest=121725 | Δ=23 | ImproveTotal=97
[IMPROVE] Iter=1773 | T=39612.3 | NewBest=121432 | Δ=535 | ImproveTotal=98
[IMPROVE] Iter=1774 | T=39612.3 | NewBest=121397 | Δ=35 | ImproveTotal=99
[IMPROVE] Iter=1817 | T=39454.1 | NewBest=120576 | Δ=1548 | ImproveTotal=100
[IMPROVE] Iter=2010 | T=38711.2 | NewBest=119984 | Δ=1333 | ImproveTotal=101
[IMPROVE] Iter=2756 | T=35912.7 | NewBest=119744 | Δ=486 | ImproveTotal=102
[IMPROVE] Iter=2780 | T=35840.9 | NewBest=119728 | Δ=169 | ImproveTotal=103
[IMPROVE] Iter=2788 | T=35805 | NewBest=119561 | Δ=227 | ImproveTotal=104
[IMPROVE] Iter=2861 | T=35519.6 | NewBest=119267 | Δ=347 | ImproveTotal=105
[IMPROVE] Iter=2865 | T=35519.6 | NewBest=119251 | Δ=28 | ImproveTotal=106
[IMPROVE] Iter=2877 | T=35484.1 | NewBest=118830 | Δ=619 | ImproveTotal=107
[IMPROVE] Iter=2878 | T=35484.1 | NewBest=118754 | Δ=76 | ImproveTotal=108
[IMPROVE] Iter=2882 | T=35448.6 | NewBest=118705 | Δ=49 | ImproveTotal=109
[IMPROVE] Iter=2891 | T=35413.1 | NewBest=118655 | Δ=56 | ImproveTotal=110
[IMPROVE] Iter=2892 | T=35413.1 | NewBest=118625 | Δ=30 | ImproveTotal=111
[IMPROVE] Iter=2900 | T=35413.1 | NewBest=118473 | Δ=155 | ImproveTotal=112
[IMPROVE] Iter=3990 | T=31754.3 | NewBest=118439 | Δ=180 | ImproveTotal=113
[IMPROVE] Iter=3992 | T=31722.6 | NewBest=117927 | Δ=512 | ImproveTotal=114
[IMPROVE] Iter=4001 | T=31690.8 | NewBest=117793 | Δ=210 | ImproveTotal=115
[IMPROVE] Iter=4003 | T=31690.8 | NewBest=117745 | Δ=48 | ImproveTotal=116
[IMPROVE] Iter=4008 | T=31690.8 | NewBest=117080 | Δ=698 | ImproveTotal=117
[IMPROVE] Iter=4014 | T=31659.1 | NewBest=116989 | Δ=93 | ImproveTotal=118
[IMPROVE] Iter=4016 | T=31659.1 | NewBest=116981 | Δ=8 | ImproveTotal=119
[IMPROVE] Iter=4024 | T=31627.5 | NewBest=116460 | Δ=559 | ImproveTotal=120
[IMPROVE] Iter=4134 | T=31281.3 | NewBest=116222 | Δ=422 | ImproveTotal=121
[IMPROVE] Iter=4135 | T=31281.3 | NewBest=116140 | Δ=82 | ImproveTotal=122
[IMPROVE] Iter=4154 | T=31218.8 | NewBest=115930 | Δ=545 | ImproveTotal=123
[IMPROVE] Iter=4155 | T=31218.8 | NewBest=115896 | Δ=34 | ImproveTotal=124
[IMPROVE] Iter=4156 | T=31218.8 | NewBest=115646 | Δ=250 | ImproveTotal=125
[IMPROVE] Iter=4162 | T=31187.6 | NewBest=115531 | Δ=115 | ImproveTotal=126
[IMPROVE] Iter=4185 | T=31125.2 | NewBest=115396 | Δ=307 | ImproveTotal=127
[IMPROVE] Iter=4186 | T=31125.2 | NewBest=115389 | Δ=7 | ImproveTotal=128
[IMPROVE] Iter=4188 | T=31125.2 | NewBest=115291 | Δ=98 | ImproveTotal=129
