Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_5000,N_N_2,,7,9544745,5.000,10317
200_5000,N_N_2,,8,9454432,5.032,10630
200_5000,N_N_2,,9,9715179,5.002,10449
200_5000,N_N_2,,10,9768063,5.000,10937
200_5000,N_N_3,,1,10795051,5.000,11304
200_5000,N_N_3,,2,12887832,5.000,11112
200_5000,N_N_3,,3,10265515,5.000,10447
200_5000,N_N_3,,4,11270967,5.000,11227
200_5000,N_N_3,,5,10104576,5.000,11363
200_5000,N_N_3,,6,10964522,5.001,11655
200_5000,N_N_3,,7,11531550,5.000,10338
200_5000,N_N_3,,8,9679744,5.000,11812
200_5000,N_N_3,,9,9654392,5.000,11113
200_5000,N_N_3,,10,10214730,5.000,11396
200_5000,N_N_4,,1,3263590,5.000,6726
200_5000,N_N_4,,2,3627090,5.000,5914
200_5000,N_N_4,,3,3362987,5.088,6535
200_5000,N_N_4,,4,3983348,5.000,8265
200_5000,N_N_4,,5,3463363,5.000,7135
200_5000,N_N_4,,6,3458750,5.000,4634
200_5000,N_N_4,,7,3596408,5.050,5549
200_5000,N_N_4,,8,3653285,5.000,6909
200_5000,N_N_4,,9,3457676,5.052,6935
200_5000,N_N_4,,10,3753175,5.000,6754
200_5000,N_N_5,,1,3103635,5.000,4307
200_5000,N_N_5,,2,3149960,5.043,4248
200_5000,N_N_5,,3,3097765,5.030,4592
200_5000,N_N_5,,4,3318833,5.000,4516
200_5000,N_N_5,,5,3209019,5.078,4713
200_5000,N_N_5,,6,3111612,5.050,4510
200_5000,N_N_5,,7,3271996,5.027,4108
200_5000,N_N_5,,8,3316634,5.039,4526
200_5000,N_N_5,,9,3499582,5.000,4240
200_5000,N_N_5,,10,3135404,5.000,5494
200_5000,N_U_1,,1,4573533,5.000,9133
200_5000,N_U_1,,2,4794463,5.025,9952
200_5000,N_U_1,,3,4685448,5.001,9329
200_5000,N_U_1,,4,4736491,5.050,9361
200_5000,N_U_1,,5,4619717,5.000,9126
200_5000,N_U_1,,6,4661065,5.000,9843
200_5000,N_U_1,,7,4472865,5.000,9891
200_5000,N_U_1,,8,4412280,5.000,11225
200_5000,N_U_1,,9,4444594,5.000,10247
200_5000,N_U_1,,10,4463953,5.000,10885
200_5000,N_U_2,,1,17494389,5.000,11275
200_5000,N_U_2,,2,16653156,5.000,10715
200_5000,N_U_2,,3,16388170,5.000,10536
200_5000,N_U_2,,4,16336362,5.000,10287
200_5000,N_U_2,,5,16450443,5.000,10831
200_5000,N_U_2,,6,16017748,5.000,11128
200_5000,N_U_2,,7,17610788,5.000,10758
200_5000,N_U_2,,8,16475960,5.021,11058
200_5000,N_U_2,,9,17434275,5.000,9956
200_5000,N_U_2,,10,17280485,5.001,10116
200_5000,N_U_3,,1,18338100,5.000,10807
200_5000,N_U_3,,2,18248861,5.039,10435
200_5000,N_U_3,,3,17224479,5.000,10694
200_5000,N_U_3,,4,19242239,5.000,11046
200_5000,N_U_3,,5,17812757,5.084,10966
200_5000,N_U_3,,6,17830507,5.000,10614
200_5000,N_U_3,,7,17627003,5.000,10952
200_5000,N_U_3,,8,18051348,5.000,11058
200_5000,N_U_3,,9,17709881,5.000,10981
200_5000,N_U_3,,10,17375139,5.000,10465
200_5000,N_U_4,,1,20039792,5.000,11496
200_5000,N_U_4,,2,19104443,5.000,10972
200_5000,N_U_4,,3,19779781,5.000,11381
200_5000,N_U_4,,4,21086519,5.000,11108
200_5000,N_U_4,,5,20198650,5.000,10757
200_5000,N_U_4,,6,19552941,5.000,10908
200_5000,N_U_4,,7,19841699,5.000,10527
200_5000,N_U_4,,8,20733193,5.000,10554
200_5000,N_U_4,,9,19540312,5.000,11564
200_5000,N_U_4,,10,19693251,5.000,10873
200_5000,N_U_5,,1,15532979,5.000,9885
200_5000,N_U_5,,2,16179204,5.000,9385
200_5000,N_U_5,,3,15542830,5.000,10459
