Folder,Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
200_2000,U_N_3,10,1021119,5.000,29434,49,3,0
200_2000,U_N_4,1,1286682,5.012,30765,43,0,0
200_2000,U_N_4,2,1266227,5.000,31478,41,0,0
200_2000,U_N_4,3,1277055,5.000,28209,55,1,0
200_2000,U_N_4,4,1288164,5.005,29554,47,0,0
200_2000,U_N_4,5,1248324,5.000,30853,45,0,0
200_2000,U_N_4,6,1268406,5.013,30326,46,0,0
200_2000,U_N_4,7,1305779,5.014,29129,52,0,0
200_2000,U_N_4,8,1251932,5.000,30248,46,0,0
200_2000,U_N_4,9,1290368,5.000,29013,52,0,0
200_2000,U_N_4,10,1293284,5.000,30466,46,0,0
200_2000,U_N_5,1,11465499,5.000,24986,67,1,0
200_2000,U_N_5,2,11276314,5.000,24041,74,1,0
200_2000,U_N_5,3,11251396,5.001,25327,66,0,0
200_2000,U_N_5,4,11195476,5.010,24431,74,0,0
200_2000,U_N_5,5,11066582,5.010,25540,67,1,0
200_2000,U_N_5,6,11160672,5.019,25287,73,1,0
200_2000,U_N_5,7,11111989,5.000,25762,66,1,0
200_2000,U_N_5,8,11338702,5.000,24042,75,0,0
200_2000,U_N_5,9,11022314,5.007,26362,65,1,0
200_2000,U_N_5,10,11075872,5.000,26321,62,1,0
200_2000,U_U_1,1,1462839,5.000,28247,60,0,0
200_2000,U_U_1,2,1468089,5.000,28541,60,0,0
200_2000,U_U_1,3,1510914,5.012,26388,68,0,0
200_2000,U_U_1,4,1471161,5.007,27992,62,0,0
200_2000,U_U_1,5,1496638,5.000,27375,63,2,0
200_2000,U_U_1,6,1470579,5.000,27797,63,0,0
200_2000,U_U_1,7,1493915,5.000,24235,55,0,0
200_2000,U_U_1,8,1490709,5.000,25191,62,1,0
200_2000,U_U_1,9,1496486,5.000,25523,51,0,0
200_2000,U_U_1,10,1507187,5.000,26431,65,3,0
200_2000,U_U_2,1,406992,5.000,14480,111,21,0
200_2000,U_U_2,2,406822,5.007,13686,103,23,0
200_2000,U_U_2,3,406828,5.018,13926,107,23,0
200_2000,U_U_2,4,406341,5.000,12730,103,13,0
200_2000,U_U_2,5,406340,5.000,14531,108,29,0
200_2000,U_U_2,6,406316,5.000,14371,111,23,0
200_2000,U_U_2,7,407292,5.027,15339,115,23,0
200_2000,U_U_2,8,406159,5.000,12682,98,18,0
200_2000,U_U_2,9,406583,5.000,15288,111,33,0
200_2000,U_U_2,10,406495,5.008,15104,113,28,0
200_2000,U_U_3,1,433019,5.016,16297,117,16,0
200_2000,U_U_3,2,433104,5.000,15692,111,27,0
200_2000,U_U_3,3,432862,5.003,14542,113,11,0
200_2000,U_U_3,4,432995,5.001,13773,100,18,0
200_2000,U_U_3,5,433125,5.000,9407,66,8,0
200_2000,U_U_3,6,433559,5.000,9005,61,3,0
200_2000,U_U_3,7,433289,5.000,8796,63,11,0
