Instance,Run,Objective,Runtime
48,2,223,0.181794
48,3,223,0.183238
48,4,223,0.191884
48,5,223,0.187572
48,6,223,0.18274
48,7,223,0.18784
48,8,223,0.185794
48,9,223,0.189132
48,10,223,0.189028
49,1,158,0.184306
49,2,158,0.194893
49,3,158,0.180905
49,4,158,0.169054
49,5,158,0.17386
49,6,158,0.17457
49,7,158,0.177814
49,8,158,0.175889
49,9,158,0.173214
49,10,158,0.187936
50,1,171,0.180517
50,2,171,0.188881
50,3,171,0.180735
50,4,171,0.185241
50,5,171,0.159369
50,6,171,0.175795
50,7,171,0.179062
50,8,171,0.175323
50,9,171,0.185643
50,10,171,0.184813
51,1,225,0.185921
51,2,225,0.182298
51,3,225,0.18189
51,4,225,0.197621
51,5,225,0.189955
51,6,225,0.184392
51,7,225,0.19897
51,8,225,0.177744
51,9,225,0.174807
51,10,225,0.201415
52,1,192,0.187016
52,2,192,0.189234
52,3,192,0.17818
52,4,192,0.179565
52,5,192,0.192683
52,6,192,0.189199
52,7,192,0.182123
52,8,192,0.184907
52,9,192,0.206264
52,10,192,0.191028
53,1,113,0.182495
53,2,113,0.178929
53,3,113,0.177669
53,4,113,0.18701
53,5,113,0.178621
53,6,113,0.200409
53,7,113,0.193066
53,8,113,0.177548
53,9,113,0.172329
53,10,113,0.175944
54,1,182,0.179775
54,2,182,0.184603
54,3,182,0.180092
54,4,182,0.174164
54,5,182,0.178227
54,6,182,0.186936
54,7,182,0.260108
54,8,182,0.176006
54,9,182,0.176229
54,10,182,0.175414
55,1,202,0.173077
55,2,202,0.17197
55,3,202,0.176669
55,4,202,0.179335
55,5,202,0.178469
55,6,202,0.177564
55,7,202,0.169493
55,8,202,0.185268
55,9,202,0.174995
55,10,202,0.178992
56,1,118,0.184757
56,2,118,0.188112
56,3,118,0.182441
56,4,118,0.187032
56,5,118,0.17332
56,6,118,0.176867
56,7,118,0.185101
56,8,118,0.189454
56,9,118,0.182443
56,10,118,0.18584
57,1,93,0.184487
57,2,93,0.178378
57,3,93,0.185246
57,4,93,0.175866
57,5,93,0.18805
57,6,93,0.197704
57,7,93,0.170678
57,8,93,0.167764
57,9,93,0.191563
57,10,93,0.181765
58,1,119,0.185609
58,2,119,0.180638
58,3,119,0.176272
58,4,119,0.183572
58,5,119,0.152869
58,6,119,0.183167
58,7,119,0.180496
58,8,119,0.186475
58,9,119,0.174556
58,10,119,0.1862
59,1,182,0.18032
59,2,182,0.182517
59,3,182,0.192019
59,4,182,0.180905
59,5,182,0.1806
59,6,182,0.176082
59,7,182,0.199205
59,8,182,0.199586
59,9,182,0.179904
59,10,182,0.174691
60,1,188,0.19334
60,2,188,0.178844
60,3,188,0.18623
60,4,188,0.185042
60,5,188,0.180671
60,6,188,0.207885
60,7,188,0.190127
60,8,188,0.184804
60,9,188,0.181514
60,10,188,0.182745
61,1,1041,0.184602
61,2,1041,0.197693
61,3,1041,0.21105
61,4,1041,0.200952
61,5,1041,0.187022
61,6,1041,0.18751
61,7,1041,0.18774
61,8,1041,0.191838
61,9,1041,0.196587
61,10,1041,0.189817
62,1,857,0.207071
62,2,857,0.214179
62,3,857,0.205196
62,4,857,0.210279
62,5,857,0.274457
62,6,857,0.186173
62,7,857,0.194326
62,8,857,0.191698
62,9,857,0.223372
62,10,857,0.201674
63,1,1376,0.207734
63,2,1376,0.189724
63,3,1376,0.178327
63,4,1376,0.188787
63,5,1376,0.202483
63,6,1376,0.206604
63,7,1376,0.182878
63,8,1376,0.209699
