Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_2000,U_U_4,,9,583261,5.000,27129
200_2000,U_U_4,,10,584968,5.000,25386
200_2000,U_U_5,,1,427812,5.000,25797
200_2000,U_U_5,,2,427249,5.000,24905
200_2000,U_U_5,,3,436170,5.000,24936
200_2000,U_U_5,,4,427007,5.000,24483
200_2000,U_U_5,,5,429595,5.000,24029
200_2000,U_U_5,,6,421982,5.000,23884
200_2000,U_U_5,,7,426013,5.001,24277
200_2000,U_U_5,,8,427937,5.001,24828
200_2000,U_U_5,,9,430260,5.000,23946
200_2000,U_U_5,,10,426386,5.002,23982
200_5000,N_N_1,,1,90689538,5.000,11408
200_5000,N_N_1,,2,95819015,5.000,11563
200_5000,N_N_1,,3,90733170,5.000,11285
200_5000,N_N_1,,4,90216508,5.000,11534
200_5000,N_N_1,,5,90062760,5.001,11442
200_5000,N_N_1,,6,96406245,5.000,11659
200_5000,N_N_1,,7,95056501,5.000,11383
200_5000,N_N_1,,8,90789947,5.000,11297
200_5000,N_N_1,,9,92003831,5.000,11424
200_5000,N_N_1,,10,91870816,5.000,11389
200_5000,N_N_2,,1,9357308,5.004,11713
200_5000,N_N_2,,2,8926631,5.000,11377
200_5000,N_N_2,,3,8846462,5.000,11402
200_5000,N_N_2,,4,8638720,5.000,11393
200_5000,N_N_2,,5,9316567,5.000,11450
200_5000,N_N_2,,6,8886905,5.000,11415
200_5000,N_N_2,,7,9279331,5.000,11272
200_5000,N_N_2,,8,8896787,5.000,11671
200_5000,N_N_2,,9,8972581,5.000,11192
200_5000,N_N_2,,10,8953965,5.000,10947
200_5000,N_N_3,,1,10900765,5.000,11868
200_5000,N_N_3,,2,11666771,5.000,11619
200_5000,N_N_3,,3,11425736,5.000,11793
200_5000,N_N_3,,4,10109891,5.000,11572
200_5000,N_N_3,,5,9195609,5.000,11596
200_5000,N_N_3,,6,9180122,5.000,11689
200_5000,N_N_3,,7,10096735,5.000,11855
200_5000,N_N_3,,8,9988855,5.000,11437
200_5000,N_N_3,,9,10005755,5.000,11492
200_5000,N_N_3,,10,11076751,5.000,11840
200_5000,N_N_4,,1,4001597,5.000,10596
200_5000,N_N_4,,2,3755638,5.001,11034
200_5000,N_N_4,,3,4098025,5.000,10863
200_5000,N_N_4,,4,4409612,5.004,10936
200_5000,N_N_4,,5,3634763,5.000,10996
200_5000,N_N_4,,6,4209544,5.001,10875
200_5000,N_N_4,,7,4113434,5.000,10684
200_5000,N_N_4,,8,3633552,5.000,11028
200_5000,N_N_4,,9,3976500,5.000,10638
200_5000,N_N_4,,10,3938433,5.000,10751
200_5000,N_N_5,,1,3333755,5.000,10733
200_5000,N_N_5,,2,3602166,5.000,10733
200_5000,N_N_5,,3,3528517,5.000,10688
200_5000,N_N_5,,4,3529675,5.000,10679
200_5000,N_N_5,,5,3643090,5.000,10633
200_5000,N_N_5,,6,3721712,5.000,10539
200_5000,N_N_5,,7,3550543,5.000,10668
200_5000,N_N_5,,8,3517348,5.000,10576
200_5000,N_N_5,,9,3586655,5.004,10300
200_5000,N_N_5,,10,3487603,5.000,10365
200_5000,N_U_1,,1,4461742,5.000,11642
200_5000,N_U_1,,2,4425630,5.000,11344
200_5000,N_U_1,,3,4594413,5.001,11108
200_5000,N_U_1,,4,4635490,5.000,11163
200_5000,N_U_1,,5,4412513,5.000,11077
200_5000,N_U_1,,6,4537264,5.000,11153
200_5000,N_U_1,,7,4435742,5.000,11297
200_5000,N_U_1,,8,4688773,5.000,11682
200_5000,N_U_1,,9,4580894,5.007,11450
200_5000,N_U_1,,10,4522285,5.000,11622
200_5000,N_U_2,,1,16714639,5.000,11752
200_5000,N_U_2,,2,17380950,5.000,11610
200_5000,N_U_2,,3,16828906,5.000,11708
200_5000,N_U_2,,4,16353558,5.000,11748
200_5000,N_U_2,,5,16709046,5.000,11508
200_5000,N_U_2,,6,17478829,5.000,11662
200_5000,N_U_2,,7,17133097,5.000,11707
200_5000,N_U_2,,8,17189511,5.001,11513
200_5000,N_U_2,,9,16653170,5.000,11579
200_5000,N_U_2,,10,16575110,5.000,11318
200_5000,N_U_3,,1,17674580,5.000,11591
200_5000,N_U_3,,2,17166548,5.000,11300
200_5000,N_U_3,,3,17596003,5.000,11251
200_5000,N_U_3,,4,17454901,5.000,11354
200_5000,N_U_3,,5,17832487,5.000,10806
200_5000,N_U_3,,6,16805900,5.000,11077
200_5000,N_U_3,,7,17214597,5.000,11298
200_5000,N_U_3,,8,18634144,5.000,11221
200_5000,N_U_3,,9,18507761,5.000,11293
200_5000,N_U_3,,10,18035148,5.000,11843
200_5000,N_U_4,,1,19928164,5.000,11524
200_5000,N_U_4,,2,19888639,5.000,11620
200_5000,N_U_4,,3,20141188,5.000,11400
200_5000,N_U_4,,4,20789187,5.000,11691
200_5000,N_U_4,,5,20291870,5.000,11391
200_5000,N_U_4,,6,19202642,5.000,11651
200_5000,N_U_4,,7,20206099,5.000,11447
200_5000,N_U_4,,8,18705527,5.000,11544
200_5000,N_U_4,,9,19672404,5.000,11327
200_5000,N_U_4,,10,20650260,5.000,11234
200_5000,N_U_5,,1,15375637,5.000,11353
200_5000,N_U_5,,2,15421201,5.000,11127
200_5000,N_U_5,,3,15144422,5.000,11081
200_5000,N_U_5,,4,15826193,5.000,11125
200_5000,N_U_5,,5,15297362,5.000,11222
200_5000,N_U_5,,6,16314282,5.000,10909
200_5000,N_U_5,,7,15652724,5.000,10889
200_5000,N_U_5,,8,15424697,5.000,11279
200_5000,N_U_5,,9,14803232,5.000,12056
200_5000,N_U_5,,10,15223866,5.000,11427
200_5000,U_N_1,,1,3068237,5.000,9967
200_5000,U_N_1,,2,3059959,5.000,10264
200_5000,U_N_1,,3,2799071,5.000,10405
200_5000,U_N_1,,4,2974060,5.000,10487
200_5000,U_N_1,,5,3019616,5.000,10381
200_5000,U_N_1,,6,2889576,5.000,10487
200_5000,U_N_1,,7,2969165,5.000,10394
200_5000,U_N_1,,8,3026363,5.001,10213
200_5000,U_N_1,,9,2941961,5.000,10341
200_5000,U_N_1,,10,2963380,5.000,10242
200_5000,U_N_2,,1,5906780,5.000,11927
200_5000,U_N_2,,2,6368301,5.000,11263
200_5000,U_N_2,,3,5950075,5.000,11262
200_5000,U_N_2,,4,6189558,5.000,11250
200_5000,U_N_2,,5,6153286,5.000,11004
200_5000,U_N_2,,6,6053967,5.001,11270
200_5000,U_N_2,,7,6016926,5.000,11074
200_5000,U_N_2,,8,6137307,5.000,11062
200_5000,U_N_2,,9,6151577,5.000,11171
200_5000,U_N_2,,10,6000051,5.000,11256
200_5000,U_N_3,,1,27306197,5.000,11567
200_5000,U_N_3,,2,27789906,5.000,11615
200_5000,U_N_3,,3,26996309,5.002,11212
200_5000,U_N_3,,4,26479832,5.000,11244
200_5000,U_N_3,,5,27166657,5.000,10800
200_5000,U_N_3,,6,27204612,5.002,11266
200_5000,U_N_3,,7,26094089,5.001,11341
200_5000,U_N_3,,8,26709960,5.000,11285
200_5000,U_N_3,,9,27854434,5.000,11188
200_5000,U_N_3,,10,29352353,5.000,11096
200_5000,U_N_4,,1,46918772,5.000,11199
200_5000,U_N_4,,2,50595548,5.000,11012
200_5000,U_N_4,,3,47115715,5.000,11055
200_5000,U_N_4,,4,47390605,5.000,10838
200_5000,U_N_4,,5,47760711,5.000,10912
200_5000,U_N_4,,6,48502046,5.000,11023
200_5000,U_N_4,,7,48587317,5.000,10936
200_5000,U_N_4,,8,48741494,5.000,10964
200_5000,U_N_4,,9,49735690,5.000,11302
200_5000,U_N_4,,10,48749432,5.000,11397
200_5000,U_N_5,,1,3604584,5.000,10749
200_5000,U_N_5,,2,3671407,5.000,11032
200_5000,U_N_5,,3,3713970,5.000,10554
200_5000,U_N_5,,4,3691438,5.000,10485
200_5000,U_N_5,,5,3684208,5.000,10732
200_5000,U_N_5,,6,3227495,5.003,10916
200_5000,U_N_5,,7,3749569,5.000,10772
200_5000,U_N_5,,8,3367214,5.000,10590
200_5000,U_N_5,,9,3543527,5.000,10347
200_5000,U_N_5,,10,3748100,5.000,10475
200_5000,U_U_1,,1,2767002,5.000,10106
200_5000,U_U_1,,2,2782431,5.000,10097
200_5000,U_U_1,,3,2823593,5.001,10156
200_5000,U_U_1,,4,2735200,5.000,10036
200_5000,U_U_1,,5,2769049,5.008,9911
200_5000,U_U_1,,6,2800823,5.000,10114
200_5000,U_U_1,,7,2756665,5.000,9840
200_5000,U_U_1,,8,2769157,5.000,10441
200_5000,U_U_1,,9,2761113,5.000,10542
200_5000,U_U_1,,10,2752216,5.001,10432
200_5000,U_U_2,,1,3814787,5.000,11652
200_5000,U_U_2,,2,3930612,5.000,11225
200_5000,U_U_2,,3,3776813,5.000,11156
200_5000,U_U_2,,4,3824917,5.000,11226
200_5000,U_U_2,,5,3804688,5.000,11427
200_5000,U_U_2,,6,3931438,5.000,10816
200_5000,U_U_2,,7,3928856,5.000,11047
200_5000,U_U_2,,8,3915924,5.000,10831
200_5000,U_U_2,,9,3880503,5.000,11197
200_5000,U_U_2,,10,3744059,5.000,11224
200_5000,U_U_3,,1,11202108,5.008,11231
200_5000,U_U_3,,2,10766156,5.000,11271
200_5000,U_U_3,,3,12226371,5.000,11644
200_5000,U_U_3,,4,11765437,5.000,11492
200_5000,U_U_3,,5,12169963,5.000,11319
200_5000,U_U_3,,6,12028841,5.000,11447
200_5000,U_U_3,,7,12127543,5.000,11803
200_5000,U_U_3,,8,12145634,5.001,11773
200_5000,U_U_3,,9,12049785,5.000,11806
200_5000,U_U_3,,10,12110311,5.000,11493
200_5000,U_U_4,,1,2669912,5.000,10572
200_5000,U_U_4,,2,2634616,5.000,10380
200_5000,U_U_4,,3,2708767,5.000,10144
200_5000,U_U_4,,4,2650351,5.000,10403
200_5000,U_U_4,,5,2673225,5.000,10582
200_5000,U_U_4,,6,2644099,5.000,10226
200_5000,U_U_4,,7,2693051,5.000,10514
200_5000,U_U_4,,8,2698547,5.000,10179
200_5000,U_U_4,,9,2723793,5.000,9952
200_5000,U_U_4,,10,2720596,5.000,10074
200_5000,U_U_5,,1,2907656,5.004,10440
200_5000,U_U_5,,2,2891199,5.000,10021
200_5000,U_U_5,,3,2970063,5.000,9941
200_5000,U_U_5,,4,2948045,5.000,10054
200_5000,U_U_5,,5,2892657,5.000,9920
200_5000,U_U_5,,6,2954921,5.000,10138
200_5000,U_U_5,,7,2933337,5.000,10223
200_5000,U_U_5,,8,2867781,5.000,10346
200_5000,U_U_5,,9,2866074,5.004,10190
200_5000,U_U_5,,10,2921270,5.000,10479
500_10000,N_N_1,,1,124109176,5.001,5715
500_10000,N_N_1,,2,125727085,5.000,5799
500_10000,N_N_1,,3,125356143,5.019,5842
500_10000,N_N_1,,4,127990386,5.001,5623
500_10000,N_N_1,,5,122134866,5.000,5727
500_10000,N_N_1,,6,131541304,5.000,5697
500_10000,N_N_1,,7,124411230,5.001,5833
500_10000,N_N_1,,8,122986527,5.000,5583
500_10000,N_N_1,,9,123938484,5.001,5672
500_10000,N_N_1,,10,127813056,5.001,5787
500_10000,N_N_2,,1,9033632,5.001,5684
500_10000,N_N_2,,2,8771033,5.000,5403
500_10000,N_N_2,,3,8954349,5.001,5575
500_10000,N_N_2,,4,8999866,5.001,5470
500_10000,N_N_2,,5,9168968,5.001,5548
500_10000,N_N_2,,6,8961183,5.000,5650
500_10000,N_N_2,,7,9509322,5.001,5420
500_10000,N_N_2,,8,8725530,5.001,5235
500_10000,N_N_2,,9,8961296,5.001,5478
500_10000,N_N_2,,10,8964287,5.000,5432
500_10000,N_N_3,,1,8832100,5.000,5241
500_10000,N_N_3,,2,8309687,5.000,5522
500_10000,N_N_3,,3,8336613,5.001,5735
500_10000,N_N_3,,4,8627107,5.000,5444
500_10000,N_N_3,,5,9000414,5.001,5514
500_10000,N_N_3,,6,8570590,5.001,5360
500_10000,N_N_3,,7,8540483,5.001,5374
500_10000,N_N_3,,8,8779698,5.000,5246
500_10000,N_N_3,,9,8889264,5.000,5497
500_10000,N_N_3,,10,8625733,5.000,5308
500_10000,N_N_4,,1,6606170,5.000,5130
500_10000,N_N_4,,2,6684530,5.001,5196
500_10000,N_N_4,,3,6553572,5.000,5276
500_10000,N_N_4,,4,6753142,5.000,5189
500_10000,N_N_4,,5,6607337,5.000,5413
500_10000,N_N_4,,6,6413902,5.000,5123
500_10000,N_N_4,,7,6509745,5.000,5297
500_10000,N_N_4,,8,6538302,5.000,5288
500_10000,N_N_4,,9,6695408,5.000,5026
500_10000,N_N_4,,10,6522142,5.001,5192
500_10000,N_N_5,,1,107222840,5.000,5679
500_10000,N_N_5,,2,112295311,5.001,5716
500_10000,N_N_5,,3,110236206,5.001,5478
500_10000,N_N_5,,4,103593509,5.000,5547
500_10000,N_N_5,,5,106688243,5.001,5707
500_10000,N_N_5,,6,110941818,5.001,5801
500_10000,N_N_5,,7,109620103,5.001,5863
500_10000,N_N_5,,8,109079485,5.001,5652
500_10000,N_N_5,,9,107082487,5.000,5757
500_10000,N_N_5,,10,106406888,5.001,5820
500_10000,N_U_1,,1,15861881,5.001,5928
500_10000,N_U_1,,2,13286455,5.000,5806
500_10000,N_U_1,,3,14538905,5.000,5649
500_10000,N_U_1,,4,16960718,5.001,5552
500_10000,N_U_1,,5,15644978,5.000,5584
500_10000,N_U_1,,6,14221495,5.001,5559
500_10000,N_U_1,,7,17774239,5.000,5801
500_10000,N_U_1,,8,15346804,5.000,5896
500_10000,N_U_1,,9,15964965,5.001,5726
500_10000,N_U_1,,10,13672645,5.000,5669
500_10000,N_U_2,,1,43188308,5.000,5849
500_10000,N_U_2,,2,39656584,5.000,5680
500_10000,N_U_2,,3,41927375,5.000,5722
500_10000,N_U_2,,4,38964811,5.000,5832
500_10000,N_U_2,,5,38160438,5.000,5713
500_10000,N_U_2,,6,39562925,5.001,5576
500_10000,N_U_2,,7,39702221,5.001,5576
500_10000,N_U_2,,8,40167896,5.002,5643
500_10000,N_U_2,,9,38467713,5.000,5814
500_10000,N_U_2,,10,39841117,5.000,5856
500_10000,N_U_3,,1,10619726,5.000,5827
500_10000,N_U_3,,2,11365453,5.000,5949
500_10000,N_U_3,,3,10613121,5.000,5707
500_10000,N_U_3,,4,12876326,5.000,5811
500_10000,N_U_3,,5,12139396,5.000,5753
500_10000,N_U_3,,6,10836322,5.000,5767
500_10000,N_U_3,,7,11803292,5.001,5800
500_10000,N_U_3,,8,10680792,5.000,5674
500_10000,N_U_3,,9,10697723,5.001,5699
500_10000,N_U_3,,10,10670373,5.001,5729
500_10000,N_U_4,,1,32483829,5.000,5844
500_10000,N_U_4,,2,32389284,5.000,5744
500_10000,N_U_4,,3,31029255,5.000,5829
500_10000,N_U_4,,4,32062802,5.002,5761
500_10000,N_U_4,,5,32249378,5.001,5706
500_10000,N_U_4,,6,32703711,5.001,5677
500_10000,N_U_4,,7,33870748,5.000,5693
500_10000,N_U_4,,8,30824722,5.000,5624
500_10000,N_U_4,,9,31581342,5.001,5662
500_10000,N_U_4,,10,32748764,5.001,5656
500_10000,N_U_5,,1,26413112,5.001,5589
500_10000,N_U_5,,2,28742726,5.000,5416
500_10000,N_U_5,,3,25870864,5.001,5670
500_10000,N_U_5,,4,25623831,5.001,5855
500_10000,N_U_5,,5,26701120,5.001,5735
500_10000,N_U_5,,6,27881740,5.000,5709
500_10000,N_U_5,,7,28045734,5.000,5706
500_10000,N_U_5,,8,27589271,5.000,5605
500_10000,N_U_5,,9,27814672,5.000,5662
500_10000,N_U_5,,10,28264602,5.001,5683
500_10000,U_N_1,,1,8118552,5.001,5662
500_10000,U_N_1,,2,8441160,5.001,5227
500_10000,U_N_1,,3,8754236,5.003,5142
500_10000,U_N_1,,4,7828766,5.001,5293
500_10000,U_N_1,,5,7923385,5.001,5631
500_10000,U_N_1,,6,7824073,5.001,5667
500_10000,U_N_1,,7,7748908,5.000,5668
500_10000,U_N_1,,8,8455350,5.001,5509
500_10000,U_N_1,,9,8167237,5.001,5369
500_10000,U_N_1,,10,8542453,5.000,5458
500_10000,U_N_2,,1,11660179,5.000,5619
500_10000,U_N_2,,2,11012723,5.000,5663
500_10000,U_N_2,,3,11440766,5.001,5453
500_10000,U_N_2,,4,13630712,5.001,5601
500_10000,U_N_2,,5,11948394,5.000,5587
500_10000,U_N_2,,6,12404248,5.001,5796
500_10000,U_N_2,,7,11877759,5.001,5697
500_10000,U_N_2,,8,12092535,5.001,5705
500_10000,U_N_2,,9,11925871,5.000,5568
500_10000,U_N_2,,10,12032960,5.001,5588
500_10000,U_N_3,,1,111918569,5.024,5687
500_10000,U_N_3,,2,109810861,5.000,5608
500_10000,U_N_3,,3,110370254,5.001,5680
500_10000,U_N_3,,4,115689870,5.000,5667
500_10000,U_N_3,,5,114179483,5.001,5521
500_10000,U_N_3,,6,113240804,5.001,5666
500_10000,U_N_3,,7,114704111,5.000,5449
500_10000,U_N_3,,8,111162747,5.000,5825
500_10000,U_N_3,,9,113620552,5.000,5778
500_10000,U_N_3,,10,113754315,5.002,5717
500_10000,U_N_4,,1,6345846,5.001,5440
500_10000,U_N_4,,2,5818394,5.000,5401
500_10000,U_N_4,,3,6210861,5.000,5212
500_10000,U_N_4,,4,5923947,5.000,5247
500_10000,U_N_4,,5,6309013,5.000,5046
500_10000,U_N_4,,6,6230981,5.000,5166
500_10000,U_N_4,,7,6187710,5.001,5131
500_10000,U_N_4,,8,6670594,5.001,5116
500_10000,U_N_4,,9,5988131,5.000,5196
500_10000,U_N_4,,10,6319422,5.000,5231
500_10000,U_N_5,,1,6116145,5.001,5356
500_10000,U_N_5,,2,6158773,5.000,5494
500_10000,U_N_5,,3,6219424,5.001,5257
500_10000,U_N_5,,4,6354582,5.000,5168
500_10000,U_N_5,,5,5976872,5.001,5275
500_10000,U_N_5,,6,6102316,5.000,5109
500_10000,U_N_5,,7,6272374,5.000,5051
500_10000,U_N_5,,8,6226580,5.001,5039
500_10000,U_N_5,,9,6056312,5.000,5144
500_10000,U_N_5,,10,6261746,5.002,5215
500_10000,U_U_1,,1,11234667,5.001,5878
500_10000,U_U_1,,2,10374659,5.000,5887
500_10000,U_U_1,,3,10284218,5.001,5821
500_10000,U_U_1,,4,12299509,5.001,5723
500_10000,U_U_1,,5,9696323,5.002,5784
500_10000,U_U_1,,6,11310536,5.000,5738
500_10000,U_U_1,,7,11220454,5.000,5651
500_10000,U_U_1,,8,11576501,5.000,5925
500_10000,U_U_1,,9,10068311,5.000,5848
500_10000,U_U_1,,10,11661953,5.000,5639
500_10000,U_U_2,,1,10057876,5.000,5674
