Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
21,3,143,1.000,252131,1681,840,39853
21,4,143,1.000,254354,1696,847,40466
21,5,143,1.000,252340,1682,841,39953
21,6,143,1.000,253768,1691,845,40289
21,7,143,1.000,245360,1636,817,39095
21,8,143,1.000,252653,1684,842,40028
21,9,143,1.000,253955,1693,846,40281
21,10,143,1.000,252679,1684,842,39957
22,1,252,1.000,246341,1642,821,56667
22,2,252,1.000,254489,1696,848,58948
22,3,252,1.000,254436,1696,848,58362
22,4,252,1.000,254319,1695,847,59182
22,5,252,1.000,255043,1700,850,59113
22,6,252,1.000,255487,1703,851,59069
22,7,252,1.000,254108,1694,846,58636
22,8,252,1.000,252097,1680,840,58044
22,9,252,1.000,247585,1650,825,56993
22,10,252,1.000,248783,1658,829,56815
23,1,137,1.000,254211,1694,847,30142
23,2,137,1.000,252912,1686,842,29719
23,3,137,1.000,247240,1648,824,29267
23,4,137,1.000,245112,1634,816,28830
23,5,137,1.000,253275,1688,844,29618
23,6,137,1.000,251121,1674,836,29548
23,7,137,1.000,247809,1651,825,29294
23,8,137,1.000,247226,1648,824,29071
23,9,137,1.000,252946,1686,842,29897
23,10,137,1.000,251116,1674,836,29430
24,1,135,1.000,252588,1684,841,46431
24,2,135,1.000,249556,1664,831,45746
24,3,135,1.000,248927,1660,829,43110
24,4,135,1.000,239275,1595,797,43837
24,5,135,1.000,250199,1668,833,45958
24,6,135,1.000,249706,1664,832,43849
24,7,135,1.000,250782,1672,835,45902
24,8,135,1.000,252368,1682,841,46159
24,9,135,1.000,253400,1689,844,46148
24,10,135,1.000,252743,1685,842,46257
25,1,148,1.000,256939,1713,856,38533
25,2,148,1.000,254343,1696,847,38099
25,3,148,1.000,253282,1688,844,38256
25,4,148,1.000,254397,1696,847,38120
25,5,148,1.000,254880,1699,849,38143
25,6,148,1.000,254961,1700,849,38340
25,7,148,1.000,258603,1724,861,38760
25,8,148,1.000,252507,1683,841,37909
