instance,run,TCT,TEC,bound,feasible,runtime
data/T_25.txt,6,148,149,151,1,0.39645
data/T_25.txt,7,148,149,151,1,0.391896
data/T_25.txt,8,148,149,151,1,0.383732
data/T_25.txt,9,148,149,151,1,0.364952
data/T_25.txt,10,148,147,151,1,0.388381
data/T_26.txt,1,246,295,303,1,0.420703
data/T_26.txt,2,246,295,303,1,0.408439
data/T_26.txt,3,246,295,303,1,0.401451
data/T_26.txt,4,246,295,303,1,0.424685
data/T_26.txt,5,246,295,303,1,0.419641
data/T_26.txt,6,246,303,303,1,0.415744
data/T_26.txt,7,246,295,303,1,0.412679
data/T_26.txt,8,246,303,303,1,0.423671
data/T_26.txt,9,246,295,303,1,0.436248
data/T_26.txt,10,246,295,303,1,0.417776
data/T_27.txt,1,141,232,235,1,0.400801
data/T_27.txt,2,141,232,235,1,0.392355
data/T_27.txt,3,141,232,235,1,0.412036
data/T_27.txt,4,141,232,235,1,0.385922
data/T_27.txt,5,141,232,235,1,0.374719
data/T_27.txt,6,141,232,235,1,0.3948
data/T_27.txt,7,141,234,235,1,0.399547
data/T_27.txt,8,141,232,235,1,0.405258
data/T_27.txt,9,141,232,235,1,0.398096
data/T_27.txt,10,141,232,235,1,0.391828
data/T_28.txt,1,126,200,200,1,0.381101
data/T_28.txt,2,126,196,200,1,0.38381
data/T_28.txt,3,126,200,200,1,0.399416
data/T_28.txt,4,126,194,200,1,0.397529
data/T_28.txt,5,126,196,200,1,0.408306
data/T_28.txt,6,126,200,200,1,0.399262
data/T_28.txt,7,126,200,200,1,0.399784
data/T_28.txt,8,126,194,200,1,0.390636
data/T_28.txt,9,126,200,200,1,0.411055
data/T_28.txt,10,126,194,200,1,0.382014
data/T_29.txt,1,194,356,356,1,0.421409
data/T_29.txt,2,194,356,356,1,0.408504
data/T_29.txt,3,194,356,356,1,0.391317
data/T_29.txt,4,194,356,356,1,0.396979
data/T_29.txt,5,194,356,356,1,0.40893
data/T_29.txt,6,194,356,356,1,0.409995
data/T_29.txt,7,194,356,356,1,0.393817
data/T_29.txt,8,194,356,356,1,0.369807
data/T_29.txt,9,194,356,356,1,0.41781
data/T_29.txt,10,194,356,356,1,0.412087
data/T_30.txt,1,143,165,166,1,0.381243
data/T_30.txt,2,143,165,166,1,0.40198
data/T_30.txt,3,143,165,166,1,0.419282
data/T_30.txt,4,143,165,166,1,0.401073
data/T_30.txt,5,143,165,166,1,0.399485
data/T_30.txt,6,143,165,166,1,0.422225
data/T_30.txt,7,143,165,166,1,0.427974
data/T_30.txt,8,143,165,166,1,0.391696
data/T_30.txt,9,143,165,166,1,0.40617
data/T_30.txt,10,143,165,166,1,0.413069
data/T_31.txt,1,230,149,152,1,0.46587
data/T_31.txt,2,230,149,152,1,0.432593
data/T_31.txt,3,230,149,152,1,0.408215
data/T_31.txt,4,230,149,152,1,0.403956
data/T_31.txt,5,230,149,152,1,0.448615
data/T_31.txt,6,230,149,152,1,0.441452
data/T_31.txt,7,230,149,152,1,0.454032
data/T_31.txt,8,230,149,152,1,0.467216
data/T_31.txt,9,230,149,152,1,0.427306
data/T_31.txt,10,230,149,152,1,0.436494
data/T_32.txt,1,247,465,465,1,0.425004
data/T_32.txt,2,247,465,465,1,0.454848
data/T_32.txt,3,247,465,465,1,0.463267
data/T_32.txt,4,247,465,465,1,0.448969
data/T_32.txt,5,247,465,465,1,0.478871
data/T_32.txt,6,247,465,465,1,0.831928
data/T_32.txt,7,247,465,465,1,0.579804
data/T_32.txt,8,247,465,465,1,0.594879
data/T_32.txt,9,247,465,465,1,0.730357
data/T_32.txt,10,247,465,465,1,0.613448
data/T_33.txt,1,273,525,527,1,0.59704
data/T_33.txt,2,273,525,527,1,0.584438
data/T_33.txt,3,273,525,527,1,0.814196
data/T_33.txt,4,273,525,527,1,0.66546
data/T_33.txt,5,273,525,527,1,0.692877
data/T_33.txt,6,273,525,527,1,0.826458
data/T_33.txt,7,273,525,527,1,0.714634
data/T_33.txt,8,273,525,527,1,0.574691
data/T_33.txt,9,273,525,527,1,0.586832
data/T_33.txt,10,273,525,527,1,0.565209
data/T_34.txt,1,202,249,252,1,0.587232
data/T_34.txt,2,202,249,252,1,0.588018
data/T_34.txt,3,202,249,252,1,0.673138
data/T_34.txt,4,202,249,252,1,0.574999
data/T_34.txt,5,202,249,252,1,0.615931
data/T_34.txt,6,202,249,252,1,0.595098
data/T_34.txt,7,202,249,252,1,0.675937
data/T_34.txt,8,202,249,252,1,0.611645
data/T_34.txt,9,202,249,252,1,0.582632
data/T_34.txt,10,202,249,252,1,0.604696
data/T_35.txt,1,248,228,229,1,0.605909
data/T_35.txt,2,248,228,229,1,0.590855
data/T_35.txt,3,248,228,229,1,0.611894
data/T_35.txt,4,248,228,229,1,0.590965
data/T_35.txt,5,248,228,229,1,0.692372
data/T_35.txt,6,248,228,229,1,0.592281
data/T_35.txt,7,248,228,229,1,0.666347
data/T_35.txt,8,248,228,229,1,0.584115
data/T_35.txt,9,248,228,229,1,0.605639
data/T_35.txt,10,248,228,229,1,0.599782
data/T_36.txt,1,310,236,240,1,0.600407
data/T_36.txt,2,310,236,240,1,0.5664
data/T_36.txt,3,310,236,240,1,0.584426
data/T_36.txt,4,310,236,240,1,0.597011
data/T_36.txt,5,310,236,240,1,0.591986
data/T_36.txt,6,310,236,240,1,0.588352
data/T_36.txt,7,310,236,240,1,0.580779
data/T_36.txt,8,310,236,240,1,0.586988
data/T_36.txt,9,310,236,240,1,0.587704
data/T_36.txt,10,310,236,240,1,0.574569
data/T_37.txt,1,205,388,388,1,0.581739
data/T_37.txt,2,205,388,388,1,0.572814
data/T_37.txt,3,205,388,388,1,0.56327
data/T_37.txt,4,205,388,388,1,0.601711
data/T_37.txt,5,205,388,388,1,0.57005
data/T_37.txt,6,205,388,388,1,0.661137
data/T_37.txt,7,205,388,388,1,0.734222
data/T_37.txt,8,205,388,388,1,0.625364
data/T_37.txt,9,205,388,388,1,0.575858
data/T_37.txt,10,205,388,388,1,0.572046
data/T_38.txt,1,210,294,298,1,0.598962
data/T_38.txt,2,210,294,298,1,0.591079
data/T_38.txt,3,210,294,298,1,0.746517
data/T_38.txt,4,210,294,298,1,0.738329
data/T_38.txt,5,210,294,298,1,0.702531
data/T_38.txt,6,210,294,298,1,0.689459
data/T_38.txt,7,210,294,298,1,0.670324
data/T_38.txt,8,210,294,298,1,0.630972
data/T_38.txt,9,210,294,298,1,0.665031
data/T_38.txt,10,210,294,298,1,0.680184
data/T_39.txt,1,226,126,135,1,0.658811
data/T_39.txt,2,226,126,135,1,0.603126
data/T_39.txt,3,226,126,135,1,0.444561
data/T_39.txt,4,226,126,135,1,0.301847
data/T_39.txt,5,226,126,135,1,0.306571
data/T_39.txt,6,226,126,135,1,0.304241
data/T_39.txt,7,226,126,135,1,0.288617
data/T_39.txt,8,226,126,135,1,0.29693
data/T_39.txt,9,226,126,135,1,0.314507
data/T_39.txt,10,226,126,135,1,0.312386
data/T_40.txt,1,191,344,348,1,0.303101
data/T_40.txt,2,191,344,348,1,0.286269
data/T_40.txt,3,191,344,348,1,0.287809
data/T_40.txt,4,191,344,348,1,0.283213
data/T_40.txt,5,191,344,348,1,0.304458
data/T_40.txt,6,191,344,348,1,0.290456
data/T_40.txt,7,191,344,348,1,0.286292
data/T_40.txt,8,191,344,348,1,0.287401
data/T_40.txt,9,191,344,348,1,0.287184
data/T_40.txt,10,191,344,348,1,0.305745
data/T_41.txt,1,147,579,579,1,0.283774
data/T_41.txt,2,147,579,579,1,0.287434
data/T_41.txt,3,147,579,579,1,0.30174
data/T_41.txt,4,147,579,579,1,0.280803
data/T_41.txt,5,147,579,579,1,0.288774
data/T_41.txt,6,147,579,579,1,0.283409
data/T_41.txt,7,147,579,579,1,0.302873
data/T_41.txt,8,147,579,579,1,0.28051
data/T_41.txt,9,147,579,579,1,0.302589
data/T_41.txt,10,147,579,579,1,0.305502
data/T_42.txt,1,181,306,306,1,0.30986
data/T_42.txt,2,181,306,306,1,0.33024
data/T_42.txt,3,181,306,306,1,0.302181
data/T_42.txt,4,181,306,306,1,0.305851
