Folder,Instance,Mode,Run,Objective,Runtime,Iterations
200_5000,N_U_3,,10,18606299,5.000,11421
200_5000,N_U_4,,1,20493456,5.000,11215
200_5000,N_U_4,,2,20781392,5.000,11488
200_5000,N_U_4,,3,21424792,5.000,11082
200_5000,N_U_4,,4,21389703,5.000,11533
200_5000,N_U_4,,5,19853942,5.000,11717
200_5000,N_U_4,,6,20764238,5.000,11638
200_5000,N_U_4,,7,21095941,5.000,11187
200_5000,N_U_4,,8,21175097,5.000,11471
200_5000,N_U_4,,9,21090132,5.000,11492
200_5000,N_U_4,,10,22425679,5.000,11597
200_5000,N_U_5,,1,16517881,5.000,11583
200_5000,N_U_5,,2,16293021,5.000,11863
200_5000,N_U_5,,3,16802583,5.000,11467
200_5000,N_U_5,,4,16340974,5.000,11891
200_5000,N_U_5,,5,16465241,5.000,11481
200_5000,N_U_5,,6,16331255,5.000,11308
200_5000,N_U_5,,7,16025574,5.000,11213
200_5000,N_U_5,,8,16535239,5.000,11117
200_5000,N_U_5,,9,15609095,5.000,11283
200_5000,N_U_5,,10,16659628,5.001,11306
200_5000,U_N_1,,1,2840260,5.000,10553
200_5000,U_N_1,,2,2971070,5.001,10127
200_5000,U_N_1,,3,2890932,5.000,9946
200_5000,U_N_1,,4,2980609,5.000,10180
200_5000,U_N_1,,5,2912686,5.000,10019
200_5000,U_N_1,,6,2936838,5.000,9751
200_5000,U_N_1,,7,2949555,5.000,9669
200_5000,U_N_1,,8,3112143,5.000,9821
200_5000,U_N_1,,9,2916147,5.001,10245
200_5000,U_N_1,,10,3039365,5.000,10320
200_5000,U_N_2,,1,6346940,5.000,11785
200_5000,U_N_2,,2,6558967,5.000,11412
200_5000,U_N_2,,3,6486911,5.000,11497
200_5000,U_N_2,,4,6461890,5.000,11033
200_5000,U_N_2,,5,6099906,5.000,11189
200_5000,U_N_2,,6,6478435,5.000,11331
200_5000,U_N_2,,7,6355070,5.000,11104
200_5000,U_N_2,,8,6401500,5.000,11351
200_5000,U_N_2,,9,6513583,5.000,11015
200_5000,U_N_2,,10,6328973,5.000,10929
200_5000,U_N_3,,1,30183677,5.000,10928
200_5000,U_N_3,,2,28435018,5.000,11180
200_5000,U_N_3,,3,29565979,5.000,10685
200_5000,U_N_3,,4,29545795,5.003,10777
200_5000,U_N_3,,5,28679961,5.001,10924
200_5000,U_N_3,,6,28917558,5.000,11007
200_5000,U_N_3,,7,29792290,5.001,10528
200_5000,U_N_3,,8,29158459,5.000,11128
200_5000,U_N_3,,9,29223892,5.000,10924
200_5000,U_N_3,,10,29903393,5.000,11284
200_5000,U_N_4,,1,53215045,5.000,11048
200_5000,U_N_4,,2,51579302,5.000,11180
200_5000,U_N_4,,3,53470837,5.000,11082
200_5000,U_N_4,,4,50883070,5.000,11341
200_5000,U_N_4,,5,50760153,5.000,11834
200_5000,U_N_4,,6,53339567,5.000,10771
200_5000,U_N_4,,7,56288671,5.000,10638
200_5000,U_N_4,,8,52532768,5.000,10894
200_5000,U_N_4,,9,51510003,5.000,10810
200_5000,U_N_4,,10,52527786,5.000,11260
200_5000,U_N_5,,1,3517590,5.000,10966
200_5000,U_N_5,,2,3490308,5.001,10523
200_5000,U_N_5,,3,3707781,5.000,11048
200_5000,U_N_5,,4,3484700,5.000,10588
200_5000,U_N_5,,5,3378957,5.000,10454
200_5000,U_N_5,,6,3541044,5.000,10449
200_5000,U_N_5,,7,3388447,5.000,10860
200_5000,U_N_5,,8,3120948,5.000,11016
200_5000,U_N_5,,9,3323788,5.000,11116
200_5000,U_N_5,,10,3428215,5.000,10698
200_5000,U_U_1,,1,2728184,5.000,10408
200_5000,U_U_1,,2,2768744,5.000,10183
200_5000,U_U_1,,3,2718658,5.000,9968
200_5000,U_U_1,,4,2785685,5.000,10304
200_5000,U_U_1,,5,2754998,5.005,10232
200_5000,U_U_1,,6,2706588,5.000,10143
200_5000,U_U_1,,7,2769318,5.000,10249
200_5000,U_U_1,,8,2730968,5.000,10145
200_5000,U_U_1,,9,2684956,5.000,10281
200_5000,U_U_1,,10,2684306,5.000,10784
200_5000,U_U_2,,1,3883558,5.000,11470
200_5000,U_U_2,,2,4022978,5.000,11129
200_5000,U_U_2,,3,3930671,5.000,11232
200_5000,U_U_2,,4,3841732,5.000,11077
200_5000,U_U_2,,5,4034311,5.000,10924
200_5000,U_U_2,,6,4004122,5.000,10699
200_5000,U_U_2,,7,4016574,5.000,11168
200_5000,U_U_2,,8,4000239,5.000,11358
200_5000,U_U_2,,9,3862619,5.000,11282
200_5000,U_U_2,,10,3884654,5.000,11650
200_5000,U_U_3,,1,12741021,5.000,11537
200_5000,U_U_3,,2,12880677,5.000,11514
200_5000,U_U_3,,3,12256048,5.000,11134
200_5000,U_U_3,,4,13037503,5.000,11309
200_5000,U_U_3,,5,12829068,5.000,11330
200_5000,U_U_3,,6,12836407,5.001,11248
200_5000,U_U_3,,7,12969902,5.000,11348
200_5000,U_U_3,,8,13278224,5.000,11311
200_5000,U_U_3,,9,13176866,5.000,10965
200_5000,U_U_3,,10,12954119,5.000,11414
200_5000,U_U_4,,1,2699299,5.000,10001
200_5000,U_U_4,,2,2664385,5.008,9738
200_5000,U_U_4,,3,2665380,5.000,9854
200_5000,U_U_4,,4,2598755,5.000,9634
200_5000,U_U_4,,5,2643270,5.000,9885
200_5000,U_U_4,,6,2670223,5.000,10039
200_5000,U_U_4,,7,2622191,5.000,10322
200_5000,U_U_4,,8,2628822,5.000,10184
200_5000,U_U_4,,9,2667595,5.000,10195
200_5000,U_U_4,,10,2630160,5.000,10184
200_5000,U_U_5,,1,2894256,5.000,10422
200_5000,U_U_5,,2,2962682,5.000,10004
200_5000,U_U_5,,3,2899733,5.000,10166
200_5000,U_U_5,,4,2922131,5.000,10070
200_5000,U_U_5,,5,2891005,5.000,10011
200_5000,U_U_5,,6,2864844,5.000,10156
200_5000,U_U_5,,7,2954703,5.001,10274
200_5000,U_U_5,,8,2833773,5.000,10207
200_5000,U_U_5,,9,2983208,5.000,10276
200_5000,U_U_5,,10,2945132,5.000,9774
500_10000,N_N_1,,1,125248180,5.002,5578
500_10000,N_N_1,,2,130663049,5.001,5614
500_10000,N_N_1,,3,129864872,5.001,5424
500_10000,N_N_1,,4,129306426,5.000,5731
500_10000,N_N_1,,5,129482814,5.000,5754
500_10000,N_N_1,,6,127071818,5.000,5877
500_10000,N_N_1,,7,125843124,5.000,5810
500_10000,N_N_1,,8,135162977,5.000,5847
500_10000,N_N_1,,9,126976560,5.000,5769
500_10000,N_N_1,,10,128501210,5.000,5556
500_10000,N_N_2,,1,8892516,5.001,5659
500_10000,N_N_2,,2,9276286,5.000,5448
500_10000,N_N_2,,3,9309684,5.002,5419
500_10000,N_N_2,,4,9388423,5.000,5222
500_10000,N_N_2,,5,8485528,5.002,5426
500_10000,N_N_2,,6,8977801,5.001,5667
500_10000,N_N_2,,7,8349233,5.000,5699
500_10000,N_N_2,,8,9674787,5.000,5561
500_10000,N_N_2,,9,9294603,5.001,5321
500_10000,N_N_2,,10,8409827,5.001,5575
500_10000,N_N_3,,1,8431760,5.000,5453
500_10000,N_N_3,,2,8134506,5.001,5351
500_10000,N_N_3,,3,8413203,5.001,5354
500_10000,N_N_3,,4,8614294,5.001,5306
500_10000,N_N_3,,5,8111883,5.001,5341
500_10000,N_N_3,,6,8848723,5.001,5151
500_10000,N_N_3,,7,7996264,5.001,5648
500_10000,N_N_3,,8,7787043,5.001,5651
500_10000,N_N_3,,9,8326855,5.000,5523
500_10000,N_N_3,,10,8323315,5.000,5416
500_10000,N_N_4,,1,6601770,5.001,5314
500_10000,N_N_4,,2,6573922,5.000,5180
500_10000,N_N_4,,3,6679762,5.001,5188
500_10000,N_N_4,,4,6460902,5.001,5298
500_10000,N_N_4,,5,6592519,5.000,5038
500_10000,N_N_4,,6,6732470,5.000,5279
500_10000,N_N_4,,7,6488807,5.000,5341
500_10000,N_N_4,,8,6645199,5.000,5200
500_10000,N_N_4,,9,6687272,5.001,5133
500_10000,N_N_4,,10,6649779,5.001,5214
500_10000,N_N_5,,1,109235760,5.000,5996
500_10000,N_N_5,,2,111104793,5.000,5597
500_10000,N_N_5,,3,109282842,5.001,5496
500_10000,N_N_5,,4,108027970,5.000,5411
500_10000,N_N_5,,5,112724416,5.000,5645
500_10000,N_N_5,,6,109281681,5.001,5632
500_10000,N_N_5,,7,112835329,5.001,5428
500_10000,N_N_5,,8,111146058,5.001,5497
500_10000,N_N_5,,9,115280060,5.000,5532
500_10000,N_N_5,,10,109100744,5.000,5520
500_10000,N_U_1,,1,14061219,5.000,5680
500_10000,N_U_1,,2,13214185,5.000,5741
500_10000,N_U_1,,3,15603919,5.000,5834
500_10000,N_U_1,,4,14020692,5.001,5625
500_10000,N_U_1,,5,15432883,5.003,5813
500_10000,N_U_1,,6,14603411,5.000,5613
500_10000,N_U_1,,7,14279017,5.000,5566
500_10000,N_U_1,,8,14120133,5.000,5623
500_10000,N_U_1,,9,14075128,5.000,5456
