Instance,Run,Objective,Runtime
1843,6,1716,1.27334
1843,7,1712,1.25607
1843,8,1713,1.24404
1843,9,1729,1.27151
1843,10,1715,1.27664
1844,1,1449,1.24796
1844,2,1451,1.24291
1844,3,1450,1.25517
1844,4,1449,1.29678
1844,5,1452,1.29243
1844,6,1453,1.22451
1844,7,1449,1.28267
1844,8,1449,1.26116
1844,9,1448,1.23326
1844,10,1446,1.28736
1845,1,1589,1.42426
1845,2,1588,1.30213
1845,3,1595,1.17877
1845,4,1587,1.24741
1845,5,1587,1.20036
1845,6,1589,1.2589
1845,7,1584,1.24783
1845,8,1588,1.26282
1845,9,1591,1.3013
1845,10,1591,1.28284
1846,1,1720,1.39471
1846,2,1721,1.27268
1846,3,1720,1.26942
1846,4,1721,1.30663
1846,5,1719,1.33093
1846,6,1719,1.28215
1846,7,1723,1.35161
1846,8,1719,1.24179
1846,9,1718,1.26433
1846,10,1721,1.26068
1847,1,1460,1.25527
1847,2,1458,1.27243
1847,3,1459,1.29231
1847,4,1461,1.18291
1847,5,1460,1.215
1847,6,1461,1.29657
1847,7,1459,1.25636
1847,8,1457,1.26667
1847,9,1461,1.18703
1847,10,1458,1.19638
1848,1,1503,1.24163
1848,2,1510,1.23566
1848,3,1507,1.23799
1848,4,1508,1.22348
1848,5,1507,1.26558
1848,6,1506,1.23679
1848,7,1515,1.22569
1848,8,1505,1.28043
1848,9,1512,1.21968
1848,10,1509,1.35552
1849,1,1589,1.29998
1849,2,1593,1.33109
1849,3,1592,1.27635
1849,4,1589,1.24815
1849,5,1588,1.85089
1849,6,1595,1.89763
1849,7,1590,1.91371
1849,8,1591,1.91266
1849,9,1590,1.93927
1849,10,1590,1.93155
1850,1,1453,1.89864
1850,2,1450,1.9183
1850,3,1450,1.90814
1850,4,1446,1.9107
1850,5,1450,1.90312
1850,6,1452,1.9101
1850,7,1448,1.92764
1850,8,1447,1.89765
1850,9,1454,1.8926
1850,10,1449,1.94031
1851,1,1350,1.8521
1851,2,1349,1.80934
1851,3,1350,1.82116
1851,4,1349,1.81716
1851,5,1349,1.81323
1851,6,1350,1.81665
1851,7,1350,1.80901
1851,8,1350,1.8056
1851,9,1349,1.8081
1851,10,1350,1.82126
1852,1,1227,1.79689
1852,2,1228,1.80897
1852,3,1228,1.80155
1852,4,1227,1.82731
1852,5,1228,1.77127
1852,6,1228,1.83143
1852,7,1228,1.81811
1852,8,1228,1.82627
1852,9,1227,1.81479
1852,10,1228,1.81195
1853,1,1255,1.79202
1853,2,1255,1.81485
1853,3,1256,1.80751
1853,4,1256,1.83255
1853,5,1255,1.79593
1853,6,1255,1.79145
1853,7,1256,1.79595
1853,8,1256,1.79598
1853,9,1255,1.83697
1853,10,1256,1.81763
1854,1,1293,1.7878
1854,2,1293,1.82047
1854,3,1292,1.84312
1854,4,1293,1.81528
1854,5,1293,1.80144
1854,6,1293,1.98949
1854,7,1292,1.82692
1854,8,1292,1.80981
1854,9,1292,1.79717
1854,10,1293,1.80458
1855,1,1215,1.77238
1855,2,1215,1.78917
1855,3,1215,1.81273
1855,4,1215,1.78025
1855,5,1216,1.8862
1855,6,1215,1.82404
1855,7,1215,1.7978
1855,8,1215,1.77536
1855,9,1215,1.79767
1855,10,1216,1.80814
1856,1,1457,1.78269
1856,2,1458,1.80601
1856,3,1457,1.79967
1856,4,1457,1.81886
1856,5,1458,1.81078
1856,6,1457,1.81663
1856,7,1457,1.77654
1856,8,1458,1.78345
1856,9,1458,1.8135
1856,10,1458,1.80529
1857,1,1455,1.79571
1857,2,1455,1.80318
1857,3,1454,1.80151
1857,4,1455,1.79153
1857,5,1454,1.78444
1857,6,1454,1.81201
1857,7,1454,1.79392
1857,8,1454,1.78061
1857,9,1454,1.79857
1857,10,1455,1.7961
1858,1,1348,1.79742
1858,2,1348,1.79397
1858,3,1348,1.80512
1858,4,1347,1.8129
1858,5,1347,1.78668
1858,6,1348,1.82807
1858,7,1347,1.79024
1858,8,1348,1.78866
1858,9,1348,1.8043
1858,10,1348,1.79998
1859,1,1297,1.78959
1859,2,1297,1.79926
1859,3,1296,1.79555
1859,4,1297,1.79926
1859,5,1297,1.81791
1859,6,1296,1.78672
1859,7,1297,1.7892
1859,8,1297,1.80323
1859,9,1296,1.78648
1859,10,1297,1.80916
1860,1,1306,1.8015
1860,2,1306,1.80203
1860,3,1306,1.80083
1860,4,1306,1.79513
1860,5,1305,1.83662
1860,6,1305,1.82614
1860,7,1305,1.79675
1860,8,1306,1.76824
1860,9,1305,1.83907
1860,10,1306,1.80816
1861,1,11885,2.27888
1861,2,11952,2.38061
1861,3,11905,2.27142
1861,4,11864,1.85731
1861,5,11892,1.42273
1861,6,11901,1.41733
1861,7,11884,1.50774
1861,8,12009,2.23711
1861,9,11952,1.82228
1861,10,11972,1.52572
1862,1,7872,1.40344
1862,2,7864,1.54005
1862,3,7890,1.51144
1862,4,7868,1.47295
1862,5,7836,1.69652
1862,6,7854,1.45424
1862,7,7875,1.5194
1862,8,7928,1.39407
1862,9,7872,1.39401
1862,10,7890,1.60343
1863,1,10150,1.53883
1863,2,10190,1.44034
1863,3,10195,1.48699
1863,4,10174,1.51096
1863,5,10162,1.40303
1863,6,10217,1.39232
1863,7,10203,1.46483
1863,8,10163,1.5171
1863,9,10183,1.40688
1863,10,10207,1.47765
1864,1,11788,1.4621
1864,2,11801,1.47592
1864,3,11680,1.51443
1864,4,11780,1.42263
1864,5,11751,1.47967
1864,6,11680,1.46321
1864,7,11748,1.48085
1864,8,11720,1.49181
1864,9,11668,1.47874
1864,10,11723,1.58731
1865,1,9062,1.44015
1865,2,9104,1.58883
1865,3,9056,1.57762
1865,4,9115,1.52161
1865,5,9090,1.39901
1865,6,9057,1.44847
1865,7,9056,1.48055
1865,8,9076,1.44577
1865,9,9055,1.44547
1865,10,9073,1.4706
1866,1,10695,1.51075
1866,2,10697,1.43991
1866,3,10749,1.39284
1866,4,10731,1.42121
1866,5,10730,1.46367
1866,6,10682,1.35526
1866,7,10747,1.49561
1866,8,10736,1.501
1866,9,10724,1.54062
1866,10,10767,1.43469
1867,1,10509,1.43659
1867,2,10557,1.45852
1867,3,10543,1.44021
1867,4,10504,1.51027
1867,5,10512,1.52178
1867,6,10604,1.59552
1867,7,10523,1.55871
1867,8,10523,1.47905
1867,9,10542,1.4569
1867,10,10565,1.60599
1868,1,10028,1.44945
1868,2,10050,1.51958
1868,3,10046,1.53529
1868,4,10169,1.49826
1868,5,10078,1.54625
1868,6,10042,1.479
1868,7,10055,1.5389
1868,8,10093,1.48561
1868,9,10108,1.41523
1868,10,10037,1.50423
1869,1,9073,1.46836
1869,2,9030,1.4818
1869,3,8958,1.41671
1869,4,9019,1.51587
1869,5,9010,1.43997
1869,6,8990,1.49235
1869,7,9012,1.54418
1869,8,8971,1.54804
1869,9,8969,1.4899
1869,10,8971,1.46025
1870,1,11688,1.47689
1870,2,11781,1.47342
1870,3,11692,1.46649
1870,4,11680,1.43169
1870,5,11724,1.47965
1870,6,11812,1.50379
1870,7,11789,1.46659
1870,8,11777,1.45981
1870,9,11792,1.52304
1870,10,11723,1.4504
1871,1,7462,1.39018
1871,2,7463,1.28216
1871,3,7466,1.40935
1871,4,7449,1.52537
1871,5,7452,1.41071
1871,6,7464,1.41637
1871,7,7458,1.41957
1871,8,7459,1.30968
1871,9,7463,1.32763
1871,10,7475,1.33814
1872,1,5961,1.38958
1872,2,5961,1.44602
1872,3,5951,1.3274
1872,4,5970,1.38755
1872,5,5964,1.33876
1872,6,5967,1.28208
1872,7,5964,1.41708
1872,8,5970,1.37027
1872,9,5969,1.3516
1872,10,5959,1.35113
1873,1,6905,1.2898
1873,2,6881,1.31908
1873,3,6903,1.32778
1873,4,6888,1.26926
1873,5,6901,1.35186
1873,6,6901,1.31509
1873,7,6890,1.30433
1873,8,6891,1.29671
1873,9,6885,1.34612
1873,10,6886,1.42775
1874,1,6074,1.29538
1874,2,6078,1.28732
1874,3,6081,1.26663
1874,4,6078,1.29715
1874,5,6080,1.34163
1874,6,6088,1.36902
1874,7,6100,1.37226
1874,8,6076,1.34704
1874,9,6070,1.33849
1874,10,6098,1.40367
1875,1,7106,1.33968
1875,2,7111,1.37015
1875,3,7104,1.36686
1875,4,7089,1.36081
1875,5,7109,1.39839
1875,6,7110,1.28825
1875,7,7116,1.30161
1875,8,7104,1.2817
1875,9,7108,1.30682
1875,10,7113,1.99811
1876,1,6276,2.05463
1876,2,6291,2.03976
1876,3,6273,2.04629
1876,4,6289,2.05353
1876,5,6279,2.11738
1876,6,6274,2.11328
1876,7,6271,2.07997
1876,8,6277,2.12968
1876,9,6273,2.0623
1876,10,6274,2.07476
1877,1,7076,2.1217
1877,2,7091,2.10997
1877,3,7074,2.10804
1877,4,7091,2.10894
1877,5,7087,2.08285
1877,6,7087,2.11138
1877,7,7087,2.10524
1877,8,7119,2.06272
1877,9,7107,2.07565
1877,10,7079,2.08153
1878,1,8021,2.09783
1878,2,8029,2.09013
1878,3,8019,2.07287
1878,4,8011,2.07116
1878,5,8028,2.11518
1878,6,8024,2.09388
1878,7,8013,2.11436
1878,8,8016,2.14396
1878,9,8025,2.10186
1878,10,8024,2.11018
1879,1,6715,2.10395
1879,2,6719,2.12006
1879,3,6748,2.09082
1879,4,6718,2.09201
1879,5,6718,2.0807
1879,6,6719,2.08349
1879,7,6747,2.13025
1879,8,6722,2.08526
1879,9,6716,2.07044
1879,10,6715,2.10595
1880,1,7223,2.12515
1880,2,7223,2.06383
1880,3,7212,2.10299
1880,4,7219,2.09815
1880,5,7221,2.08379
1880,6,7221,2.11339
1880,7,7213,2.08438
1880,8,7228,2.08406
1880,9,7221,2.07705
1880,10,7223,2.05729
1881,1,7007,2.01842
1881,2,7008,2.08295
1881,3,7007,2.00986
1881,4,7007,2.0173
1881,5,7008,2.01658
1881,6,7007,1.99368
1881,7,7008,1.69273
1881,8,7008,1.12286
1881,9,7008,1.1147
1881,10,7007,1.2421
1882,1,6911,1.27275
1882,2,6911,1.30662
1882,3,6909,1.27188
1882,4,6909,1.27486
1882,5,6909,1.27391
1882,6,6911,1.26275
1882,7,6911,1.22233
1882,8,6911,1.29978
1882,9,6909,1.22711
1882,10,6909,1.27742
1883,1,6564,1.25282
1883,2,6562,1.33269
1883,3,6564,1.24149
1883,4,6564,1.2964
1883,5,6562,1.26493
1883,6,6562,1.25647
1883,7,6562,1.27382
1883,8,6562,1.24045
1883,9,6564,1.3057
1883,10,6564,1.44472
1884,1,7207,1.40556
1884,2,7207,1.33177
1884,3,7207,1.3255
1884,4,7211,1.30906
1884,5,7207,1.30031
1884,6,7207,1.32695
1884,7,7211,1.29472
1884,8,7207,1.28323
1884,9,7207,1.25561
1884,10,7211,1.2238
1885,1,6966,1.27382
1885,2,6967,1.30116
1885,3,6967,1.34408
1885,4,6966,1.24537
1885,5,6966,1.27656
1885,6,6967,1.2531
1885,7,6967,1.22943
1885,8,6966,1.27055
1885,9,6967,1.24887
1885,10,6966,1.18923
1886,1,5968,1.30623
1886,2,5968,1.28387
1886,3,5966,1.2402
1886,4,5966,1.20978
1886,5,5966,1.28962
1886,6,5966,1.42295
1886,7,5966,1.39357
1886,8,5968,1.28764
1886,9,5966,1.29815
1886,10,5966,1.25447
1887,1,5943,1.26837
1887,2,5943,1.2664
1887,3,5944,1.24678
1887,4,5943,1.26321
1887,5,5943,1.19843
1887,6,5943,1.20732
1887,7,5944,1.30897
1887,8,5944,1.31572
1887,9,5943,1.20088
1887,10,5943,1.25239
1888,1,6021,1.28008
1888,2,6021,1.27423
1888,3,6021,1.33784
1888,4,6021,1.27202
1888,5,6022,1.27283
1888,6,6022,1.34144
1888,7,6021,1.24355
1888,8,6021,1.32736
1888,9,6022,1.24397
1888,10,6021,1.3215
1889,1,6301,1.33561
1889,2,6301,1.34545
1889,3,6302,1.36551
1889,4,6302,1.30954
1889,5,6301,1.21835
1889,6,6302,1.29178
1889,7,6302,1.26393
1889,8,6302,1.31307
1889,9,6302,1.23341
1889,10,6302,1.35255
1890,1,5866,1.2428
1890,2,5865,1.2708
1890,3,5866,1.22737
1890,4,5866,1.20101
1890,5,5866,1.29557
1890,6,5866,1.25359
1890,7,5865,1.21692
1890,8,5865,1.23714
1890,9,5865,1.24131
1890,10,5865,1.27516
1891,1,11950,1.4245
1891,2,11891,1.4547
1891,3,11895,1.45432
1891,4,11992,1.40264
1891,5,11956,1.45034
1891,6,12028,1.43484
1891,7,11910,1.61929
1891,8,11991,1.57386
1891,9,11929,1.37725
1891,10,11909,1.43534
1892,1,13261,1.45196
1892,2,13210,1.55133
1892,3,13220,1.48769
1892,4,13181,1.43647
1892,5,13235,1.4811
1892,6,13201,1.42911
1892,7,13212,1.53798
1892,8,13255,1.48883
1892,9,13217,1.57926
1892,10,13359,1.54661
1893,1,12109,1.45696
1893,2,12030,1.45358
1893,3,12133,1.43776
1893,4,12111,1.41792
1893,5,12040,1.50516
1893,6,12140,1.53198
1893,7,12031,1.44445
1893,8,12103,1.45853
1893,9,12083,1.49559
1893,10,12046,1.57786
1894,1,10050,1.4657
1894,2,10073,1.48931
1894,3,10096,1.46026
1894,4,10071,1.36079
1894,5,10074,1.25475
1894,6,10074,1.25918
1894,7,10097,1.27289
1894,8,10027,1.25982
1894,9,10067,1.27438
1894,10,10034,1.2649
1895,1,11880,1.40112
1895,2,11899,1.47971
1895,3,11973,1.43858
1895,4,11907,1.53855
1895,5,11851,1.44417
1895,6,11897,1.43075
1895,7,11881,1.43195
1895,8,11937,1.50654
1895,9,11914,1.46572
1895,10,11954,1.4677
1896,1,11905,1.49334
1896,2,11916,1.49741
1896,3,11918,1.57964
1896,4,11891,1.56761
1896,5,11982,1.43158
1896,6,11893,1.40543
1896,7,11889,1.44162
1896,8,11852,1.44927
1896,9,11860,1.49438
1896,10,11962,1.40748
1897,1,11879,1.44305
1897,2,11850,1.45701
1897,3,11916,1.53947
1897,4,11792,1.48877
1897,5,11802,1.49763
1897,6,11934,1.51575
1897,7,11834,1.47402
1897,8,11854,1.45981
1897,9,11859,1.54977
1897,10,11848,1.42755
1898,1,11027,1.54506
1898,2,11000,1.49918
1898,3,11019,1.50452
1898,4,10983,1.54304
1898,5,11055,1.61342
1898,6,11108,1.6622
1898,7,11046,1.65789
1898,8,11022,1.50932
1898,9,11010,1.4999
1898,10,11044,1.51316
1899,1,14401,1.53537
1899,2,14612,1.51672
1899,3,14446,1.51066
1899,4,14411,1.47666
1899,5,14327,1.53269
1899,6,14574,1.53737
1899,7,14602,1.52172
1899,8,14459,1.51358
1899,9,14234,1.50012
1899,10,14473,1.50356
1900,1,12557,1.4293
1900,2,12557,1.48725
1900,3,12571,1.47699
1900,4,12564,1.44772
1900,5,12595,1.48464
1900,6,12519,1.44855
1900,7,12512,1.62149
1900,8,12556,1.62387
1900,9,12480,1.47277
1900,10,12545,1.47875
1901,1,7247,1.37348
1901,2,7227,1.38809
1901,3,7223,1.33391
1901,4,7267,1.40916
1901,5,7248,1.38722
1901,6,7240,1.34932
1901,7,7230,1.36931
1901,8,7218,1.40519
1901,9,7236,1.29441
1901,10,7248,1.35695
1902,1,7224,1.4481
1902,2,7214,1.41826
1902,3,7209,1.38352
1902,4,7203,1.32
1902,5,7214,1.30732
1902,6,7196,1.33048
1902,7,7223,1.43004
1902,8,7210,1.35337
1902,9,7213,1.49221
1902,10,7213,1.37158
1903,1,7424,1.52549
1903,2,7425,1.52881
1903,3,7421,1.403
1903,4,7424,1.39989
1903,5,7413,1.34196
1903,6,7412,1.38348
1903,7,7424,1.38931
1903,8,7420,1.40413
1903,9,7425,1.29423
1903,10,7417,1.40975
1904,1,7751,1.46389
1904,2,7772,1.39532
1904,3,7757,1.45309
1904,4,7754,1.38747
1904,5,7755,1.38164
1904,6,7779,1.42173
1904,7,7756,1.80975
1904,8,7753,2.09475
1904,9,7783,2.06783
1904,10,7761,2.10763
1905,1,6768,2.10686
1905,2,6760,2.11142
1905,3,6759,2.10625
1905,4,6771,2.06646
1905,5,6768,2.07793
1905,6,6754,2.08881
1905,7,6778,2.0965
1905,8,6772,2.09481
1905,9,6765,2.09051
1905,10,6772,2.07185
1906,1,7264,2.10081
1906,2,7286,2.12615
1906,3,7293,2.09692
1906,4,7282,2.10766
1906,5,7273,2.10085
1906,6,7271,2.14818
1906,7,7285,2.09902
1906,8,7260,1.76603
1906,9,7272,1.18592
1906,10,7275,1.19935
1907,1,6620,1.17489
1907,2,6600,1.15537
1907,3,6614,1.15014
