Instance,Run,Objective,Runtime,Iterations,Machs,Jobs
1786,2,343986,5.00001,110206,20,500
1786,3,343382,5.00001,106645,20,500
1786,4,340836,5.00003,107739,20,500
1786,5,343905,5,104845,20,500
1786,6,344017,5.00001,106235,20,500
1786,7,341229,5.00005,105098,20,500
1786,8,344337,5.00001,104877,20,500
1786,9,341885,5.00003,108850,20,500
1786,10,342939,5.00004,108400,20,500
1787,1,368473,5.00004,107979,20,500
1787,2,368170,5.00003,106074,20,500
1787,3,370349,5.00014,107441,20,500
1787,4,370931,5.00003,108869,20,500
1787,5,367655,5.00003,112631,20,500
1787,6,368862,5.00002,109324,20,500
1787,7,368461,5,107913,20,500
1787,8,370963,5.00004,106476,20,500
1787,9,371308,5,109081,20,500
1787,10,367968,5,108291,20,500
1788,1,316416,5.00108,106886,20,500
1788,2,313097,5.00001,107882,20,500
1788,3,314102,5.00001,106498,20,500
1788,4,314820,5.00003,106283,20,500
1788,5,315545,5,106965,20,500
1788,6,315992,5.00002,106023,20,500
1788,7,317046,5.00003,110610,20,500
1788,8,315756,5.00002,110583,20,500
1788,9,316043,5.00001,104829,20,500
1788,10,315550,5.00001,105682,20,500
1789,1,437175,5.00002,106520,20,500
1789,2,434909,5.00075,105219,20,500
1789,3,428646,5.00002,106235,20,500
1789,4,434116,5.00004,107957,20,500
1789,5,428673,5.00002,106898,20,500
1789,6,429597,5.00004,107794,20,500
1789,7,432642,5.00002,108262,20,500
1789,8,431638,5.00001,106862,20,500
1789,9,432390,5.00003,109315,20,500
1789,10,429833,5.00003,111307,20,500
1790,1,372053,5.00001,108701,20,500
1790,2,371692,5.00003,108927,20,500
1790,3,370015,5.00003,109133,20,500
1790,4,370857,5.00002,108127,20,500
1790,5,370215,5.00003,107970,20,500
1790,6,371702,5.00004,106068,20,500
1790,7,373508,5.00001,105808,20,500
1790,8,371138,5.00018,106582,20,500
1790,9,370569,5,107541,20,500
1790,10,371038,5.00005,107984,20,500
1791,1,252741,5.00006,106888,20,500
1791,2,252049,5.00004,107543,20,500
1791,3,252077,5.00001,109531,20,500
1791,4,253312,5.00003,103732,20,500
1791,5,252249,5.00002,106334,20,500
1791,6,252910,5.00003,109389,20,500
1791,7,252404,5,109477,20,500
1791,8,252171,5.00004,109385,20,500
1791,9,253690,5.00034,108762,20,500
1791,10,251990,5,107789,20,500
1792,1,249411,5.00003,109271,20,500
1792,2,248836,5.00001,109062,20,500
1792,3,248719,5.00002,108566,20,500
1792,4,249445,5.00002,108713,20,500
1792,5,248866,5,110779,20,500
1792,6,248498,5.00001,109724,20,500
1792,7,248986,5.00004,106837,20,500
1792,8,249125,5.00004,108800,20,500
1792,9,249420,5,108747,20,500
1792,10,249926,5.00003,106527,20,500
1793,1,236645,5.00003,106096,20,500
1793,2,236854,5.00002,106833,20,500
1793,3,236225,5.00003,107262,20,500
1793,4,237510,5.00001,107720,20,500
1793,5,236170,5.00002,109140,20,500
1793,6,237215,5.00001,104722,20,500
1793,7,237150,5,105937,20,500
1793,8,236699,5.00002,112267,20,500
1793,9,237103,5.00001,105463,20,500
1793,10,236454,5.00001,107755,20,500
1794,1,241912,5,109934,20,500
1794,2,242216,5.00003,107849,20,500
1794,3,242273,5.00002,107464,20,500
1794,4,241662,5.00002,107982,20,500
1794,5,241324,5.00006,109200,20,500
1794,6,242061,5.00002,107375,20,500
1794,7,241074,5.00001,110841,20,500
1794,8,240634,5.00003,109550,20,500
1794,9,241380,5.00003,108385,20,500
1794,10,241657,5.00004,112271,20,500
1795,1,244323,5.00002,109790,20,500
1795,2,256004,5.00048,108202,20,500
1795,3,245863,5.00001,105737,20,500
1795,4,245941,5.00002,107044,20,500
1795,5,245159,5.00001,106563,20,500
1795,6,245618,5.00001,108184,20,500
1795,7,245531,5.00008,106581,20,500
1795,8,244950,5.00001,107230,20,500
1795,9,245298,5,107049,20,500
1795,10,245601,5.00003,106119,20,500
1796,1,236045,5.00005,105207,20,500
1796,2,236201,5,103953,20,500
1796,3,237071,5.00002,110350,20,500
1796,4,236806,5,107683,20,500
1796,5,236177,5.00002,107763,20,500
1796,6,237047,5.00003,107181,20,500
1796,7,236446,5.00003,109172,20,500
1796,8,236092,5.00003,108136,20,500
1796,9,236650,5,108561,20,500
1796,10,235652,5.00001,110469,20,500
1797,1,232798,5.00003,109973,20,500
1797,2,232296,5.00002,109451,20,500
1797,3,232759,5.00002,108001,20,500
1797,4,231541,5.00003,107277,20,500
1797,5,232598,5.00002,111176,20,500
1797,6,233034,5.00003,109259,20,500
1797,7,232323,5.00002,106585,20,500
1797,8,232168,5.00003,105565,20,500
1797,9,232782,5.00003,106903,20,500
1797,10,232594,5.00002,106649,20,500
1798,1,248049,5.00003,108517,20,500
1798,2,248570,5,105991,20,500
1798,3,248252,5.00004,106980,20,500
1798,4,248693,5.00001,105564,20,500
1798,5,249300,5.00005,106106,20,500
1798,6,247435,5.00005,106546,20,500
1798,7,249624,5.00002,105387,20,500
1798,8,246894,5.00001,111265,20,500
1798,9,248004,5.00002,105017,20,500
1798,10,248591,5,110060,20,500
1799,1,243156,5.00003,108507,20,500
1799,2,243212,5.00002,108080,20,500
1799,3,242240,5.00007,108558,20,500
1799,4,242623,5.00003,110869,20,500
1799,5,242036,5.00003,108384,20,500
1799,6,242662,5,108387,20,500
1799,7,242949,5.00037,107792,20,500
1799,8,241986,5.00002,109681,20,500
1799,9,242690,5.00001,107767,20,500
1799,10,242662,5.00004,109752,20,500
1800,1,248124,5.00002,111680,20,500
1800,2,249137,5.00002,108165,20,500
1800,3,248297,5.00001,107330,20,500
1800,4,248952,5,106871,20,500
1800,5,249101,5.00002,107672,20,500
1800,6,249520,5.00002,107594,20,500
1800,7,249463,5.00001,104599,20,500
1800,8,250168,5.00006,102619,20,500
1800,9,249479,5.00003,106305,20,500
1800,10,248492,5.00004,105718,20,500
1801,1,2561,5.00016,269436,50,100
1801,2,2557,5.00001,276137,50,100
1801,3,2554,5.00002,284884,50,100
1801,4,2556,5.00002,272236,50,100
1801,5,2563,5,268985,50,100
1801,6,2558,5,274546,50,100
1801,7,2555,5.00001,274574,50,100
1801,8,2555,5.00003,283131,50,100
1801,9,2560,5.00002,272279,50,100
1801,10,2557,5.00001,275485,50,100
1802,1,2235,5,279366,50,100
1802,2,2235,5,273984,50,100
1802,3,2237,5.00007,276013,50,100
1802,4,2238,5.00001,275269,50,100
1802,5,2241,5.00007,271085,50,100
1802,6,2240,5.00001,279161,50,100
1802,7,2242,5.00001,271720,50,100
1802,8,2240,5.00001,267613,50,100
1802,9,2251,5.00001,267655,50,100
1802,10,2237,5,268384,50,100
1803,1,1914,5.00003,257014,50,100
1803,2,1915,5,263182,50,100
1803,3,1914,5.00024,261208,50,100
1803,4,1914,5,261102,50,100
1803,5,1914,5.00001,260082,50,100
1803,6,1914,5,268605,50,100
1803,7,1914,5.00002,266882,50,100
1803,8,1914,5.00001,276834,50,100
1803,9,1914,5.00001,266962,50,100
1803,10,1914,5,265146,50,100
1804,1,2464,5,263952,50,100
1804,2,2465,5.00002,272235,50,100
1804,3,2456,5,272755,50,100
1804,4,2454,5.00001,270806,50,100
1804,5,2453,5.00001,270458,50,100
1804,6,2461,5.00002,266776,50,100
1804,7,2457,5.00001,277784,50,100
1804,8,2445,5.00001,268728,50,100
1804,9,2443,5.00002,272689,50,100
1804,10,2456,5,270826,50,100
1805,1,2028,5.00001,277360,50,100
1805,2,2026,5.00011,268781,50,100
1805,3,2032,5.00014,260579,50,100
1805,4,2033,5.00001,271875,50,100
1805,5,2032,5.00002,267289,50,100
1805,6,2034,5.00001,256081,50,100
1805,7,2027,5,267420,50,100
1805,8,2028,5,263874,50,100
1805,9,2028,5.00003,266906,50,100
1805,10,2033,5.00003,271579,50,100
1806,1,2143,5.00002,268804,50,100
1806,2,2145,5.00001,272530,50,100
1806,3,2143,5.00001,279718,50,100
1806,4,2146,5.00001,274769,50,100
1806,5,2150,5.00001,267849,50,100
1806,6,2143,5.00001,271105,50,100
1806,7,2143,5.00001,271521,50,100
1806,8,2145,5,264644,50,100
1806,9,2151,5.00001,271875,50,100
1806,10,2144,5,271280,50,100
1807,1,2090,5.00009,271025,50,100
1807,2,2110,5,268057,50,100
1807,3,2096,5.00001,268398,50,100
1807,4,2097,5,261455,50,100
1807,5,2093,5.00002,268884,50,100
1807,6,2087,5.00001,279906,50,100
1807,7,2097,5.00001,261360,50,100
1807,8,2089,5.00001,276121,50,100
1807,9,2108,5.00002,263348,50,100
1807,10,2092,5.00003,265376,50,100
1808,1,2551,5,262831,50,100
1808,2,2566,5.00004,262809,50,100
1808,3,2546,5.00001,268088,50,100
1808,4,2562,5.00002,277624,50,100
1808,5,2545,5.00001,272941,50,100
1808,6,2540,5,273582,50,100
1808,7,2543,5.00001,272631,50,100
1808,8,2557,5.00001,276279,50,100
1808,9,2571,5.00002,280437,50,100
1808,10,2574,5,277532,50,100
1809,1,1699,5,271085,50,100
1809,2,1699,5,269527,50,100
1809,3,1700,5.00003,265366,50,100
1809,4,1697,5.00001,265256,50,100
1809,5,1697,5.00001,268106,50,100
1809,6,1698,5.00001,264538,50,100
1809,7,1700,5,266075,50,100
1809,8,1698,5.00002,261505,50,100
1809,9,1697,5.00001,264571,50,100
1809,10,1697,5.00001,264238,50,100
1810,1,2407,5.00001,283365,50,100
1810,2,2409,5.00002,279855,50,100
1810,3,2415,5.00001,272513,50,100
1810,4,2409,5.00001,270494,50,100
1810,5,2424,5.00001,265628,50,100
1810,6,2437,5.00001,269927,50,100
1810,7,2416,5.00007,266480,50,100
1810,8,2419,5.00001,271135,50,100
1810,9,2416,5.00001,274751,50,100
1810,10,2412,5.00001,272603,50,100
1811,1,1470,5,269928,50,100
1811,2,1469,5,269065,50,100
1811,3,1472,5.00002,266291,50,100
1811,4,1471,5.00001,276089,50,100
1811,5,1469,5.00013,273928,50,100
1811,6,1469,5,273311,50,100
1811,7,1471,5.00001,268655,50,100
1811,8,1469,5.00002,266479,50,100
1811,9,1468,5.00001,271815,50,100
1811,10,1468,5.00002,267045,50,100
1812,1,1880,5.00001,264521,50,100
1812,2,1883,5.00002,268901,50,100
1812,3,1875,5.00003,262726,50,100
1812,4,1882,5.00001,269584,50,100
1812,5,1874,5.00001,265067,50,100
1812,6,1879,5.00001,270688,50,100
1812,7,1881,5.00001,270430,50,100
1812,8,1877,5.00002,265300,50,100
1812,9,1878,5,265137,50,100
1812,10,1886,5.00001,262792,50,100
1813,1,1486,5.00001,259951,50,100
1813,2,1486,5.00001,268214,50,100
1813,3,1487,5.00001,264711,50,100
1813,4,1488,5.00002,269425,50,100
1813,5,1486,5,266868,50,100
1813,6,1487,5.00004,267910,50,100
1813,7,1486,5,267472,50,100
1813,8,1487,5,273677,50,100
1813,9,1485,5.00002,278464,50,100
1813,10,1488,5.00001,265628,50,100
1814,1,1436,5.00001,270915,50,100
1814,2,1436,5,266779,50,100
1814,3,1436,5.00001,266390,50,100
1814,4,1436,5,270113,50,100
1814,5,1436,5,262376,50,100
1814,6,1437,5,265689,50,100
1814,7,1436,5.00001,264860,50,100
1814,8,1436,5.00014,262374,50,100
1814,9,1435,5,264491,50,100
1814,10,1437,5.00008,268881,50,100
1815,1,1563,5,264001,50,100
1815,2,1562,5,266625,50,100
1815,3,1564,5.00001,258497,50,100
1815,4,1563,5.00002,264967,50,100
1815,5,1564,5.00005,258838,50,100
1815,6,1562,5,268439,50,100
1815,7,1562,5.00001,270030,50,100
1815,8,1561,5.00001,267775,50,100
1815,9,1562,5.00001,267271,50,100
1815,10,1560,5.00001,268229,50,100
1816,1,1650,5,270753,50,100
1816,2,1652,5.00001,272244,50,100
1816,3,1651,5,277751,50,100
1816,4,1653,5.00001,277678,50,100
1816,5,1656,5.00002,267379,50,100
1816,6,1657,5.00003,271250,50,100
1816,7,1652,5.00001,269115,50,100
1816,8,1650,5.00001,261448,50,100
1816,9,1651,5,265862,50,100
1816,10,1651,5.00001,265221,50,100
1817,1,1263,5.00001,262628,50,100
1817,2,1264,5.00002,265758,50,100
1817,3,1263,5.00001,266463,50,100
1817,4,1264,5,271690,50,100
1817,5,1264,5.00001,263801,50,100
1817,6,1265,5.00001,266149,50,100
1817,7,1264,5.00002,272796,50,100
1817,8,1263,5.00001,262555,50,100
1817,9,1265,5,263652,50,100
1817,10,1265,5.00001,265849,50,100
1818,1,1460,5.00002,269835,50,100
1818,2,1460,5.00001,266220,50,100
1818,3,1459,5.00002,268719,50,100
1818,4,1461,5,268789,50,100
1818,5,1459,5.00001,269077,50,100
1818,6,1461,5.00005,272408,50,100
1818,7,1460,5,275642,50,100
1818,8,1462,5.00001,270271,50,100
1818,9,1460,5,278731,50,100
1818,10,1463,5.00016,270789,50,100
1819,1,1596,5.00005,271133,50,100
1819,2,1599,5,267956,50,100
1819,3,1599,5,265467,50,100
1819,4,1597,5.00001,265710,50,100
1819,5,1594,5.00002,265777,50,100
1819,6,1594,5.00001,266493,50,100
1819,7,1595,5,264034,50,100
1819,8,1596,5.00001,264414,50,100
1819,9,1596,5.00001,264939,50,100
1819,10,1600,5.00005,258639,50,100
1820,1,1613,5.00009,211509,50,100
1820,2,1612,5.00001,267740,50,100
1820,3,1610,5,254594,50,100
1820,4,1611,5.00001,268841,50,100
1820,5,1611,5.00001,270910,50,100
1820,6,1610,5.00001,266835,50,100
1820,7,1612,5.00015,270788,50,100
1820,8,1616,5.00001,272444,50,100
1820,9,1612,5,269080,50,100
1820,10,1612,5,271819,50,100
1821,1,1255,5.00001,274713,50,100
1821,2,1255,5,275919,50,100
1821,3,1255,5.00001,279067,50,100
1821,4,1255,5.00001,277326,50,100
1821,5,1255,5.00001,278410,50,100
1821,6,1255,5.00001,272554,50,100
1821,7,1255,5.00076,266757,50,100
1821,8,1255,5.00002,273213,50,100
1821,9,1255,5.00001,273574,50,100
1821,10,1255,5.00001,271025,50,100
