test_id,algo,mach,job,lower_cost,upper_cost,obj_best,obj_mean,runtime_mean
T_118,Tabu+O3,2.0,8.0,900.0,2120.0,840.0,840.0,0.20000240000000002
T_119,Tabu+O3,2.0,8.0,1520.0,2400.0,539.0,539.0,0.20000089999999998
T_120,Tabu+O3,2.0,8.0,3624.0,4126.0,923.0,923.0,0.2000017
T_121,Tabu+O3,2.0,10.0,480.0,543.0,452.0,452.0,0.20000090000000004
T_122,Tabu+O3,2.0,10.0,216.0,390.0,354.0,354.0,0.20000150000000003
T_123,Tabu+O3,2.0,10.0,244.0,279.0,187.0,187.0,0.20000140000000002
T_124,Tabu+O3,2.0,10.0,232.0,296.0,404.0,404.0,0.20000180000000004
T_125,Tabu+O3,2.0,10.0,270.0,366.0,269.0,269.0,0.20000090000000004
T_126,Tabu+O3,2.0,10.0,98.0,153.0,306.0,306.0,0.2000007
T_127,Tabu+O3,2.0,10.0,115.0,176.0,391.0,391.0,0.20000140000000002
T_128,Tabu+O3,2.0,10.0,89.0,138.0,267.0,267.0,0.2000013
T_129,Tabu+O3,2.0,10.0,113.0,353.0,377.0,377.0,0.2000012
T_130,Tabu+O3,2.0,10.0,180.0,229.0,300.0,300.0,0.2000016
T_131,Tabu+O3,2.0,10.0,135.0,427.0,388.0,388.0,0.20001699999999997
T_132,Tabu+O3,2.0,10.0,172.0,222.0,201.0,201.0,0.2000016
T_133,Tabu+O3,2.0,10.0,106.0,334.0,261.0,261.0,0.2000007
T_134,Tabu+O3,2.0,10.0,192.0,348.0,249.0,249.0,0.20000230000000002
T_135,Tabu+O3,2.0,10.0,79.0,251.0,191.0,191.0,0.2000035
T_136,Tabu+O3,2.0,10.0,402.0,473.0,391.0,391.0,0.2000013
T_137,Tabu+O3,2.0,10.0,336.0,395.0,295.0,295.0,0.2000283
T_138,Tabu+O3,2.0,10.0,111.0,355.0,303.0,303.0,0.2000049
T_139,Tabu+O3,2.0,10.0,452.0,511.0,309.0,309.0,0.2000032
T_140,Tabu+O3,2.0,10.0,107.0,166.0,292.0,292.0,0.20000110000000001
T_141,Tabu+O3,2.0,10.0,105.0,161.0,228.0,228.0,0.2000144
T_142,Tabu+O3,2.0,10.0,172.0,270.0,184.0,184.0,0.2000012
T_143,Tabu+O3,2.0,10.0,129.0,405.0,318.0,318.0,0.2000012
T_144,Tabu+O3,2.0,10.0,246.0,450.0,294.0,294.0,0.2000017
T_145,Tabu+O3,2.0,10.0,82.0,262.0,202.0,202.0,0.20000400000000002
T_146,Tabu+O3,2.0,10.0,254.0,254.0,293.0,293.0,0.20000940000000003
T_147,Tabu+O3,2.0,10.0,355.0,355.0,137.0,137.0,0.2000013
T_148,Tabu+O3,2.0,10.0,188.0,347.0,204.0,204.0,0.20000140000000002
T_149,Tabu+O3,2.0,10.0,435.0,435.0,184.0,184.0,0.20000110000000001
T_150,Tabu+O3,2.0,10.0,250.0,317.0,291.0,291.0,0.2000013
T_151,Tabu+O3,2.0,10.0,78.0,201.0,251.0,251.0,0.20000270000000003
T_152,Tabu+O3,2.0,10.0,106.0,554.0,368.0,368.0,0.20000220000000005
T_153,Tabu+O3,2.0,10.0,116.0,305.0,410.0,410.0,0.2000013
T_154,Tabu+O3,2.0,10.0,164.0,352.0,243.0,243.0,0.2000079
T_155,Tabu+O3,2.0,10.0,392.0,596.0,289.0,289.0,0.200002
T_156,Tabu+O3,2.0,10.0,339.0,759.0,362.0,362.0,0.200001
T_157,Tabu+O3,2.0,10.0,848.0,906.0,353.0,353.0,0.200001
T_158,Tabu+O3,2.0,10.0,210.0,328.0,335.0,335.0,0.2000169
T_159,Tabu+O3,2.0,10.0,260.0,600.0,450.0,450.0,0.20000500000000004
T_160,Tabu+O3,2.0,10.0,234.0,738.0,378.0,378.0,0.2000013
T_161,Tabu+O3,2.0,10.0,182.0,546.0,206.0,206.0,0.20000270000000003
T_162,Tabu+O3,2.0,10.0,436.0,731.0,281.0,281.0,0.2000013
T_163,Tabu+O3,2.0,10.0,87.0,234.0,195.0,195.0,0.2000017
T_164,Tabu+O3,2.0,10.0,535.0,594.0,276.0,276.0,0.2000013
T_165,Tabu+O3,2.0,10.0,336.0,600.0,197.0,197.0,0.200001
T_166,Tabu+O3,2.0,10.0,570.0,870.0,328.0,328.0,0.20001170000000004
T_167,Tabu+O3,2.0,10.0,500.0,775.0,264.0,264.0,0.2000016
T_168,Tabu+O3,2.0,10.0,356.0,591.0,223.0,223.0,0.20000110000000001
T_169,Tabu+O3,2.0,10.0,448.0,802.0,305.0,305.0,0.20000140000000002
T_170,Tabu+O3,2.0,10.0,120.0,723.0,313.0,313.0,0.20001120000000006
T_171,Tabu+O3,2.0,10.0,142.0,332.0,146.0,146.0,0.20000710000000002
T_172,Tabu+O3,2.0,10.0,363.0,623.0,282.0,282.0,0.2000026
T_173,Tabu+O3,2.0,10.0,109.0,589.0,235.0,235.0,0.20000179999999998
T_174,Tabu+O3,2.0,10.0,408.0,461.0,233.0,233.0,0.20000279999999998
T_175,Tabu+O3,2.0,10.0,470.0,623.0,211.0,211.0,0.2000017
T_176,Tabu+O3,2.0,10.0,296.0,456.0,164.0,164.0,0.2000017
T_177,Tabu+O3,2.0,10.0,372.0,528.0,223.0,223.0,0.2000019
T_178,Tabu+O3,2.0,10.0,224.0,658.0,244.0,244.0,0.20000080000000003
T_179,Tabu+O3,2.0,10.0,564.0,668.0,223.0,223.0,0.20000330000000002
T_180,Tabu+O3,2.0,10.0,590.0,654.0,286.0,286.0,0.20000140000000002
T_181,Tabu+O3,2.0,10.0,1647.0,1931.0,1826.0,1826.0,0.2000017
T_182,Tabu+O3,2.0,10.0,1113.0,1329.0,1121.0,1121.0,0.20000179999999998
T_183,Tabu+O3,2.0,10.0,546.0,1130.0,1804.0,1804.0,0.20000120000000005
T_184,Tabu+O3,2.0,10.0,546.0,837.0,1743.0,1743.0,0.2000016
T_185,Tabu+O3,2.0,10.0,1432.0,1818.0,2690.0,2690.0,0.20000140000000002
T_186,Tabu+O3,2.0,10.0,1140.0,2070.0,1745.0,1745.0,0.2000012
T_187,Tabu+O3,2.0,10.0,1058.0,1943.0,1643.0,1643.0,0.2000078
T_188,Tabu+O3,2.0,10.0,2336.0,2657.0,1890.0,1890.0,0.20000140000000002
T_189,Tabu+O3,2.0,10.0,634.0,1636.0,2326.0,2326.0,0.20000239999999997
T_190,Tabu+O3,2.0,10.0,1626.0,1909.0,2146.0,2146.0,0.20000140000000002
T_191,Tabu+O3,2.0,10.0,942.0,1749.0,1200.0,1200.0,0.2000011
T_192,Tabu+O3,2.0,10.0,1206.0,1850.0,1607.0,1607.0,0.2000013
T_193,Tabu+O3,2.0,10.0,1034.0,1919.0,1177.0,1177.0,0.200002
T_194,Tabu+O3,2.0,10.0,1096.0,1999.0,1461.0,1461.0,0.2000092
T_195,Tabu+O3,2.0,10.0,378.0,1044.0,819.0,819.0,0.20000089999999998
T_196,Tabu+O3,2.0,10.0,2223.0,2611.0,2190.0,2190.0,0.20000150000000003
T_197,Tabu+O3,2.0,10.0,990.0,1508.0,1287.0,1287.0,0.20000120000000005
T_198,Tabu+O3,2.0,10.0,1170.0,1818.0,1662.0,1662.0,0.20000150000000003
T_199,Tabu+O3,2.0,10.0,599.0,912.0,1633.0,1633.0,0.2000051
T_200,Tabu+O3,2.0,10.0,1422.0,1687.0,1161.0,1161.0,0.20000610000000002
T_201,Tabu+O3,2.0,10.0,1022.0,1312.0,1160.0,1160.0,0.2000019
T_202,Tabu+O3,2.0,10.0,2268.0,2570.0,1395.0,1395.0,0.20000110000000001
T_203,Tabu+O3,2.0,10.0,579.0,900.0,1432.0,1432.0,0.20000800000000002
T_204,Tabu+O3,2.0,10.0,1536.0,1810.0,1219.0,1219.0,0.2000013
T_205,Tabu+O3,2.0,10.0,670.0,2094.0,1772.0,1772.0,0.2000012
T_206,Tabu+O3,2.0,10.0,374.0,587.0,769.0,769.0,0.20000110000000001
T_207,Tabu+O3,2.0,10.0,2127.0,2507.0,1865.0,1865.0,0.2000032
T_208,Tabu+O3,2.0,10.0,422.0,912.0,829.0,829.0,0.2000017
T_209,Tabu+O3,2.0,10.0,1125.0,1549.0,750.0,750.0,0.20000100000000004
T_210,Tabu+O3,2.0,10.0,1196.0,1369.0,560.0,560.0,0.20000150000000003
T_211,Tabu+O3,2.0,10.0,479.0,1809.0,1450.0,1450.0,0.2000017
T_212,Tabu+O3,2.0,10.0,1986.0,4492.0,2381.0,2381.0,0.2000105
T_213,Tabu+O3,2.0,10.0,1740.0,2200.0,1187.0,1187.0,0.20000140000000002
T_214,Tabu+O3,2.0,10.0,2500.0,3523.0,2183.0,2183.0,0.2000017
T_215,Tabu+O3,2.0,10.0,1188.0,2444.0,2021.0,2021.0,0.2000048
T_216,Tabu+O3,2.0,10.0,3892.0,4182.0,1921.0,1921.0,0.2000013
T_217,Tabu+O3,2.0,10.0,1587.0,3505.0,1853.0,1853.0,0.20003600000000002
T_218,Tabu+O3,2.0,10.0,2295.0,3600.0,1420.0,1420.0,0.20000100000000004
T_219,Tabu+O3,2.0,10.0,4641.0,5715.0,2375.0,2375.0,0.20000140000000002
T_220,Tabu+O3,2.0,10.0,1920.0,3016.0,1511.0,1511.0,0.20000110000000001
T_221,Tabu+O3,2.0,10.0,1587.0,2415.0,1432.0,1432.0,0.20000089999999998
T_222,Tabu+O3,2.0,10.0,450.0,2673.0,1003.0,1003.0,0.20001940000000004
T_223,Tabu+O3,2.0,10.0,3420.0,3626.0,905.0,905.0,0.20000089999999998
T_224,Tabu+O3,2.0,10.0,2256.0,3219.0,1438.0,1438.0,0.2000013
T_225,Tabu+O3,2.0,10.0,888.0,2540.0,1189.0,1189.0,0.2000017
T_226,Tabu+O3,2.0,10.0,3296.0,3724.0,1034.0,1034.0,0.20000140000000002
T_227,Tabu+O3,2.0,10.0,3558.0,4210.0,1695.0,1695.0,0.2000013
T_228,Tabu+O3,2.0,10.0,878.0,1628.0,1023.0,1023.0,0.2000013
T_229,Tabu+O3,2.0,10.0,5012.0,6161.0,2124.0,2124.0,0.2000041
T_230,Tabu+O3,2.0,10.0,1496.0,2296.0,882.0,882.0,0.20000140000000002
T_231,Tabu+O3,2.0,10.0,1578.0,1864.0,1230.0,1230.0,0.2000012
T_232,Tabu+O3,2.0,10.0,918.0,1890.0,968.0,968.0,0.200005
T_233,Tabu+O3,2.0,10.0,459.0,2251.0,912.0,912.0,0.20000110000000001
T_234,Tabu+O3,2.0,10.0,2300.0,2902.0,1355.0,1355.0,0.2000016
T_235,Tabu+O3,2.0,10.0,4256.0,4926.0,1429.0,1429.0,0.20000179999999998
T_236,Tabu+O3,2.0,10.0,3010.0,3715.0,974.0,974.0,0.20000990000000002
T_237,Tabu+O3,2.0,10.0,461.0,1781.0,972.0,972.0,0.2000019
T_238,Tabu+O3,2.0,10.0,980.0,1246.0,1138.0,1138.0,0.20000140000000002
T_239,Tabu+O3,2.0,10.0,1617.0,3654.0,1251.0,1251.0,0.20000420000000005
T_240,Tabu+O3,2.0,10.0,628.0,2644.0,1563.0,1563.0,0.2000013
T_241,Tabu+O3,2.0,12.0,136.0,209.0,585.0,585.0,0.2000013
T_242,Tabu+O3,2.0,12.0,320.0,578.0,700.0,700.0,0.2000032
T_243,Tabu+O3,2.0,12.0,112.0,360.0,352.0,352.0,0.20000210000000002
T_244,Tabu+O3,2.0,12.0,124.0,388.0,443.0,443.0,0.2000016
T_245,Tabu+O3,2.0,12.0,145.0,222.0,572.0,572.0,0.2000012
T_246,Tabu+O3,2.0,12.0,333.0,394.0,395.0,395.0,0.200001
T_247,Tabu+O3,2.0,12.0,405.0,547.0,518.0,518.0,0.20000110000000001
T_248,Tabu+O3,2.0,12.0,246.0,378.0,485.0,485.0,0.2000077
T_249,Tabu+O3,2.0,12.0,123.0,312.0,491.0,491.0,0.20000460000000003
T_250,Tabu+O3,2.0,12.0,270.0,410.0,504.0,504.0,0.20000420000000002
T_251,Tabu+O3,2.0,12.0,414.0,486.0,425.0,425.0,0.2000019
T_252,Tabu+O3,2.0,12.0,131.0,269.0,406.0,406.0,0.20000179999999998
T_253,Tabu+O3,2.0,12.0,354.0,417.0,332.0,332.0,0.2000016
