Instance,ISA_obj_best,HybridTabu_obj_best,delta_best,delta_best_pct,verdict_best,ISA_obj_avg,HybridTabu_obj_avg,delta_avg,delta_avg_pct,verdict_avg,ISA_obj_std,HybridTabu_obj_std,ISA_iter_avg,HybridTabu_iter_avg,ISA_runtime_avg,HybridTabu_runtime_avg,ISA_n_runs,HybridTabu_n_runs
1038,10455.0,10456.0,1.0,0.009564801530368245,ISA better,10457.0,10458.3,1.2999999999992724,0.012431863823269317,ISA better,1.3416407864998738,2.758622844826744,135683.9,188540.8,1.000003,1.000001,10.0,10.0
1039,13047.0,13046.0,-1.0,-0.007664597225415804,Tabu better,13068.0,13053.4,-14.600000000000364,-0.11172329354147814,Tabu better,17.337819932159867,7.552483035399682,121362.6,176020.7,1.000005,1.000005,10.0,10.0
104,719.0,719.0,0.0,0.0,Tie,719.0,719.0,0.0,0.0,Tie,0.0,0.0,43169.9,75785.7,0.200003,0.2000117,10.0,10.0
1040,10022.0,10022.0,0.0,0.0,Tie,10027.6,10025.7,-1.8999999999996362,-0.018947704336028923,Tabu better,3.826225293941799,3.0347981810987035,129539.3,183893.3,1.000007,1.000001,10.0,10.0
1041,9354.0,9354.0,0.0,0.0,Tie,9358.7,9356.0,-2.7000000000007276,-0.028850160812941193,Tabu better,4.960846701924985,3.0983866769659336,134789.5,194692.6,1.000004,1.000006,10.0,10.0
1042,10051.0,10051.0,0.0,0.0,Tie,10054.0,10052.0,-2.0,-0.019892580067634773,Tabu better,3.1622776601683795,2.04939015319192,134237.8,175678.5,1.000007,1.000355,10.0,10.0
1043,8585.0,8585.0,0.0,0.0,Tie,8588.2,8587.6,-0.6000000000003638,-0.006986330080812787,Tabu better,2.2271057451320084,2.5768197453450252,138434.6,181271.1,1.000004,1.000001,10.0,10.0
1044,9855.0,9854.0,-1.0,-0.010147133434804667,Tabu better,9855.5,9855.1,-0.3999999999996362,-0.004058647455731685,Tabu better,0.6708203932499369,1.374772708486752,135646.5,199782.0,1.00001,1.000006,10.0,10.0
1045,8051.0,8051.0,0.0,0.0,Tie,8051.4,8051.8,0.4000000000005457,0.004968080085457755,ISA better,0.7999999999999999,0.9797958971132713,129867.8,189443.3,1.0000049999999998,1.000001,10.0,10.0
1046,8616.0,8616.0,0.0,0.0,Tie,8616.3,8616.3,0.0,0.0,Tie,0.9,0.45825756949558394,129576.9,183810.5,1.000004,1.0000049999999998,10.0,10.0
1047,12561.0,12561.0,0.0,0.0,Tie,12567.2,12568.7,1.5,0.011935832961996308,ISA better,4.422668877499197,4.148493702538308,133525.9,185253.5,1.000007,1.0000019999999998,10.0,10.0
1048,11422.0,11423.0,1.0,0.008755034144633165,ISA better,11430.0,11427.5,-2.5,-0.021872265966754158,Tabu better,5.215361924162119,3.9812058474788765,133247.2,193159.1,1.0000060000000002,1.000009,10.0,10.0
1049,10454.0,10455.0,1.0,0.009565716472163765,ISA better,10459.2,10457.8,-1.4000000000014552,-0.013385344959475437,Tabu better,3.6823905279043943,2.3579652245103193,133248.6,183883.1,1.000009,1.000013,10.0,10.0
105,729.0,729.0,0.0,0.0,Tie,729.0,729.0,0.0,0.0,Tie,0.0,0.0,44426.3,72739.7,0.20000230000000002,0.20000110000000001,10.0,10.0
1050,10254.0,10254.0,0.0,0.0,Tie,10261.4,10257.9,-3.5,-0.03410840626035434,Tabu better,4.521061822182927,4.323193264243458,135055.4,188586.7,1.0000060000000002,1.0000250000000002,10.0,10.0
1051,17769.0,17759.0,-10.0,-0.05627778715740897,Tabu better,17788.5,17777.6,-10.900000000001455,-0.061275543188022905,Tabu better,19.61249601657066,12.109500402576483,116929.4,180140.2,1.00002,1.000003,10.0,10.0
1052,17877.0,17873.0,-4.0,-0.022375118867818986,Tabu better,17893.8,17893.1,-0.7000000000007276,-0.003911969508996008,Tabu better,15.873247934811578,10.783784122468328,119078.7,184435.2,1.0000179999999999,1.000004,10.0,10.0
1053,16437.0,16437.0,0.0,0.0,Tie,16463.4,16461.3,-2.100000000002183,-0.012755566893850497,Tabu better,17.579533554676587,18.76725872363889,116753.8,171868.2,1.000006,1.0011649999999999,10.0,10.0
1054,20457.0,20455.0,-2.0,-0.00977660458522755,Tabu better,20490.7,20505.7,15.0,0.0732039413001996,ISA better,33.04254832787568,34.67578405746581,121691.3,170032.4,1.000008,1.0000049999999998,10.0,10.0
1055,24863.0,24862.0,-1.0,-0.0040220407834935445,Tabu better,24903.8,24902.0,-1.7999999999992724,-0.00722781262297028,Tabu better,25.82556872558666,30.659419433511783,111927.6,171425.0,1.0000040000000001,1.0000019999999998,10.0,10.0
1056,29634.0,29637.0,3.0,0.010123506782749543,ISA better,29641.6,29644.4,2.8000000000029104,0.009446183741778144,ISA better,6.974238309665077,8.968834929911466,111228.2,182041.6,1.000033,1.0000040000000001,10.0,10.0
1057,30174.0,30201.0,27.0,0.08948101014118115,ISA better,30209.8,30238.0,28.200000000000728,0.09334719197081982,ISA better,23.3914514299562,27.48454110950372,123052.6,185119.1,1.000122,1.000003,10.0,10.0
1058,15789.0,15793.0,4.0,0.025334093356134017,ISA better,15799.5,15808.4,8.899999999999636,0.0563308965473568,ISA better,9.31933474020544,14.575321608801637,107341.1,182988.6,1.000006,1.0000019999999998,10.0,10.0
1059,17094.0,17098.0,4.0,0.023400023400023402,ISA better,17111.6,17142.3,30.700000000000728,0.17941045840249148,ISA better,33.70815924965349,38.75577376340202,112547.6,134204.3,1.0000079999999998,1.0007169999999999,10.0,10.0
106,1046.0,1046.0,0.0,0.0,Tie,1046.0,1046.0,0.0,0.0,Tie,0.0,0.0,45031.3,75837.7,0.200012,0.20000560000000003,10.0,10.0
1060,10530.0,10542.0,12.0,0.11396011396011395,ISA better,10538.0,10561.0,23.0,0.21825773391535397,ISA better,8.94427190999916,10.79814798935447,110268.5,48795.6,1.00002,1.001369,10.0,10.0
1061,15660.0,15665.0,5.0,0.031928480204342274,ISA better,15681.4,15710.0,28.600000000000364,0.18238167510554137,ISA better,11.655041827466771,24.054105678657024,107761.8,47662.0,1.000008,1.000784,10.0,10.0
1062,12677.0,12684.0,7.0,0.05521811154058532,ISA better,12694.9,12706.7,11.800000000001091,0.09295071249085138,ISA better,8.141867107733951,18.665744024817226,112983.8,56870.6,1.0000060000000002,1.002498,10.0,10.0
1063,9370.0,9388.0,18.0,0.192102454642476,ISA better,9382.8,9402.8,20.0,0.21315598755169035,ISA better,9.610411021387172,5.74108003776293,130543.0,54559.6,1.0000040000000001,1.001375,10.0,10.0
1064,14006.0,14028.0,22.0,0.15707553905469085,ISA better,14027.0,14047.3,20.299999999999272,0.1447208954159783,ISA better,16.0312195418814,14.966963619919708,113268.1,54108.4,1.0000069999999999,1.0010670000000002,10.0,10.0
1065,13127.0,13152.0,25.0,0.19044716995505448,ISA better,13144.1,13177.8,33.69999999999891,0.25638879801583153,ISA better,15.404220200970903,14.613692209705253,124810.2,54495.0,1.000009,1.002011,10.0,10.0
1066,12533.0,12541.0,8.0,0.06383148487991702,ISA better,12558.3,12566.3,8.0,0.06370288972233502,ISA better,12.19877042984251,16.763352886579703,114506.5,74092.8,1.000003,1.001125,10.0,10.0
1067,12803.0,12810.0,7.0,0.054674685620557675,ISA better,12820.1,12827.6,7.5,0.05850188376065709,ISA better,9.038252043398657,12.249081598226047,132313.9,83938.4,1.0000049999999998,1.001004,10.0,10.0
1068,11376.0,11377.0,1.0,0.008790436005625879,ISA better,11379.1,11390.4,11.299999999999272,0.09930486593842458,ISA better,4.158124577258358,9.210863151735564,125287.3,69266.6,1.0000049999999998,1.000969,10.0,10.0
1069,12411.0,12412.0,1.0,0.008057368463459834,ISA better,12419.2,12430.8,11.599999999998545,0.09340376191701996,ISA better,7.4806416837060175,24.838679514016032,113791.1,108949.0,1.000003,1.0002389999999999,10.0,10.0
107,1027.0,1027.0,0.0,0.0,Tie,1027.0,1027.0,0.0,0.0,Tie,0.0,0.0,45014.3,77685.2,0.2000029,0.20000140000000002,10.0,10.0
