Instance,Run,Objective,Runtime,Iterations,Machs,Jobs
25,4,148,0.200003,41005,2,8
25,5,148,0.200002,43692,2,8
25,6,148,0.200004,45052,2,8
25,7,148,0.200004,39531,2,8
25,8,148,0.200001,41841,2,8
25,9,148,0.200001,40029,2,8
25,10,148,0.200001,36330,2,8
26,1,246,0.200006,44018,2,8
26,2,246,0.200002,45381,2,8
26,3,246,0.200111,40545,2,8
26,4,246,0.200002,39046,2,8
26,5,246,0.200003,40718,2,8
26,6,246,0.200003,43334,2,8
26,7,246,0.200004,45099,2,8
26,8,246,0.200001,41701,2,8
26,9,246,0.200001,43882,2,8
26,10,246,0.200001,43654,2,8
27,1,141,0.200003,36549,2,8
27,2,141,0.200002,41052,2,8
27,3,141,0.200004,42205,2,8
27,4,141,0.200002,35769,2,8
27,5,141,0.200001,41549,2,8
27,6,141,0.200003,39812,2,8
27,7,141,0.200004,39304,2,8
27,8,141,0.200003,45227,2,8
27,9,141,0.200003,44380,2,8
27,10,141,0.200003,43529,2,8
28,1,126,0.200003,41610,2,8
28,2,126,0.200003,41304,2,8
28,3,126,0.200004,42397,2,8
28,4,126,0.200004,40726,2,8
28,5,126,0.200008,36329,2,8
28,6,126,0.200001,43217,2,8
28,7,126,0.20001,42649,2,8
28,8,126,0.200003,38909,2,8
28,9,126,0.200004,36303,2,8
28,10,126,0.200004,36495,2,8
29,1,194,0.200003,38909,2,8
29,2,194,0.200007,42170,2,8
29,3,194,0.200005,41001,2,8
29,4,194,0.200004,44954,2,8
29,5,194,0.200002,43454,2,8
29,6,194,0.200002,44597,2,8
29,7,194,0.200003,41849,2,8
29,8,194,0.200006,43526,2,8
29,9,194,0.200002,40595,2,8
29,10,194,0.200003,36158,2,8
30,1,143,0.200001,44755,2,8
30,2,143,0.200001,38296,2,8
30,3,143,0.200001,43503,2,8
30,4,143,0.200003,39357,2,8
30,5,143,0.200005,41625,2,8
30,6,143,0.200005,39963,2,8
30,7,143,0.200003,43118,2,8
30,8,143,0.200004,44722,2,8
30,9,143,0.200001,44249,2,8
30,10,143,0.200002,46435,2,8
31,1,230,0.200003,33187,2,8
31,2,230,0.200001,44048,2,8
31,3,230,0.200003,39865,2,8
31,4,230,0.200001,42023,2,8
31,5,230,0.200003,33338,2,8
31,6,230,0.200111,43072,2,8
31,7,230,0.200004,45858,2,8
31,8,230,0.200004,47197,2,8
31,9,230,0.200001,46769,2,8
31,10,230,0.200001,45331,2,8
32,1,247,0.200003,44409,2,8
32,2,247,0.200002,44528,2,8
32,3,247,0.20002,36646,2,8
32,4,247,0.200003,39648,2,8
32,5,247,0.200002,44834,2,8
32,6,247,0.200003,34922,2,8
32,7,247,0.200004,47071,2,8
32,8,247,0.200003,36139,2,8
32,9,247,0.200308,41028,2,8
32,10,247,0.200004,36997,2,8
33,1,273,0.200001,43958,2,8
33,2,273,0.200033,39751,2,8
33,3,273,0.200002,37292,2,8
33,4,273,0.200004,38589,2,8
33,5,273,0.200001,42938,2,8
33,6,273,0.200001,43466,2,8
33,7,273,0.200003,42955,2,8
33,8,273,0.200004,44136,2,8
33,9,273,0.200001,46458,2,8
33,10,273,0.200002,44196,2,8
34,1,202,0.200003,42755,2,8
34,2,202,0.200001,36242,2,8
34,3,202,0.200008,42742,2,8
34,4,202,0.200005,41660,2,8
34,5,202,0.200002,41454,2,8
34,6,202,0.200005,39324,2,8
34,7,202,0.200001,45745,2,8
34,8,202,0.200003,44796,2,8
34,9,202,0.200009,45937,2,8
34,10,202,0.200002,41534,2,8
35,1,248,0.200002,41833,2,8
35,2,248,0.200001,28719,2,8
35,3,248,0.200002,44589,2,8
35,4,248,0.200003,44812,2,8
35,5,248,0.200004,44018,2,8
35,6,248,0.200001,43474,2,8
35,7,248,0.200001,44447,2,8
35,8,248,0.200001,42390,2,8
35,9,248,0.200007,38753,2,8
35,10,248,0.200003,40119,2,8
36,1,310,0.200003,42927,2,8
36,2,310,0.200002,42037,2,8
36,3,310,0.200002,45870,2,8
