Folder,Instance,O3_Standard_obj_best,O3_Smart_obj_best,Tabu_obj_best,delta_Smart_obj_best,delta_Smart_obj_best_pct,verdict_Smart,delta_Tabu_obj_best,delta_Tabu_obj_best_pct,verdict_Tabu,O3_Standard_obj_avg,O3_Smart_obj_avg,Tabu_obj_avg,delta_Smart_obj_avg,delta_Smart_obj_avg_pct,delta_Tabu_obj_avg,delta_Tabu_obj_avg_pct,O3_Standard_runtime_avg,O3_Smart_runtime_avg,Tabu_runtime_avg
500_10000,N_N_4,6406637.0,6384437.0,5010218.0,-22200.0,-0.3465156524398058,Better,-1396419.0,-21.79644328217753,Better,6888094.4,7100753.4,5195104.6,212659.0,3.0873415439834853,-1692989.8000000007,-24.578493000908942,5.000100000000001,5.0002,5.002000000000001
500_10000,N_N_5,97725627.0,96788315.0,96296489.0,-937312.0,-0.9591261051719832,Better,-1429138.0,-1.4623983942308194,Better,103174242.1,101166317.5,99326534.4,-2007924.599999994,-1.9461491154486457,-3847707.699999988,-3.7293297451806415,5.0002,5.0,5.0007
500_10000,N_U_1,9765311.0,10016823.0,10089474.0,251512.0,2.5755656937090894,Worse,324163.0,3.3195358550280685,Worse,10757728.5,11191899.5,10704039.1,434171.0,4.035898470573969,-53689.40000000037,-0.4990774771830352,5.0,5.0002,5.0
500_10000,N_U_2,35815648.0,35868378.0,34675587.0,52730.0,0.14722615098294464,Worse,-1140061.0,-3.18313659995765,Better,37669341.1,37142114.3,36333693.8,-527226.8000000045,-1.3996177915626045,-1335647.3000000045,-3.54571452804096,5.0002,5.0,5.000100000000001
500_10000,N_U_3,8822007.0,8609383.0,8646605.0,-212624.0,-2.4101545147266377,Better,-175402.0,-1.9882323829486872,Better,9310443.5,9350259.2,9039342.2,39815.699999999255,0.42764557885990345,-271101.30000000075,-2.911797918112072,5.0,5.0011,5.000100000000001
500_10000,N_U_4,30549386.0,29159556.0,29200713.0,-1389830.0,-4.549453137945227,Better,-1348673.0,-4.41473029932582,Better,31167150.9,30119525.5,30193327.1,-1047625.3999999985,-3.361312695412267,-973823.799999997,-3.12451979689936,5.0009,5.0003,5.0013
500_10000,N_U_5,25233718.0,24562002.0,23353980.0,-671716.0,-2.6619779138373505,Better,-1879738.0,-7.449310482109691,Better,26015732.3,25082461.6,24808412.7,-933270.6999999993,-3.5873320390831327,-1207319.6000000015,-4.640728871583605,5.0002,5.0002,5.0011
500_10000,U_N_1,6799162.0,6882711.0,5284335.0,83549.0,1.2288131978617365,Worse,-1514827.0,-22.27961328175443,Better,7221214.8,7596673.0,5529184.4,375458.2000000002,5.1993772571340795,-1692030.3999999994,-23.431381656172302,5.0004,5.0001,5.0
500_10000,U_N_2,8227253.0,9116815.0,7174290.0,889562.0,10.81238172692635,Worse,-1052963.0,-12.798475991925859,Better,9473562.5,10156237.0,7950189.2,682674.5,7.206101189494449,-1523373.2999999998,-16.080258086649028,5.0002,5.0002,5.0017000000000005
500_10000,U_N_3,110168627.0,101939099.0,102155552.0,-8229528.0,-7.469937879864837,Better,-8013075.0,-7.273463615009017,Better,112979420.6,105757302.7,105133053.1,-7222117.899999991,-6.3924189570503,-7846367.5,-6.944952858078297,5.000100000000001,5.000100000000001,5.0008
500_10000,U_N_4,5892510.0,6494896.0,4476590.0,602386.0,10.222910101128381,Worse,-1415920.0,-24.0291488686485,Better,6271005.4,6799996.7,4579258.2,528991.2999999998,8.435510197455736,-1691747.2000000002,-26.97728820326004,5.0002,5.0009,5.000100000000001
500_10000,U_N_5,5742901.0,6596998.0,4483058.0,854097.0,14.872222244471914,Worse,-1259843.0,-21.93739714475315,Better,6529008.2,6856897.2,4514849.9,327889.0,5.022033821308418,-2014158.2999999998,-30.849376173244806,5.0004,5.0006,5.0003
500_10000,U_U_1,7854908.0,7608905.0,7630003.0,-246003.0,-3.131838081362633,Better,-224905.0,-2.8632416827797345,Better,9326276.5,8667270.6,8429049.5,-659005.9000000004,-7.066120117712576,-897227.0,-9.620420325303458,5.0002,5.0002,5.0
500_10000,U_U_2,7267813.0,7297790.0,7234831.0,29977.0,0.4124624560373252,Worse,-32982.0,-0.4538091445115608,Better,7757691.3,8609229.7,7600256.6,851538.3999999994,10.976698699005972,-157434.7000000002,-2.0294014534968694,5.0002,5.0001,5.0
500_10000,U_U_3,26809716.0,25592239.0,22215061.0,-1217477.0,-4.541178280292115,Better,-4594655.0,-17.138021902208887,Better,27843348.3,26334057.5,23423293.8,-1509290.8000000007,-5.420651222468099,-4420054.5,-15.874723299711766,5.0022,5.000500000000001,5.0002
500_10000,U_U_4,9438317.0,9592711.0,7168534.0,154394.0,1.6358213016155316,Worse,-2269783.0,-24.048598918641957,Better,10203862.9,10614572.3,7846151.1,410709.4000000004,4.025038399918136,-2357711.8000000007,-23.1060709371154,5.0003,5.0002,5.000100000000001
500_10000,U_U_5,23281848.0,22199155.0,20317321.0,-1082693.0,-4.650373973749851,Better,-2964527.0,-12.733211727866275,Better,24118523.2,23143375.8,21112335.4,-975147.3999999985,-4.043147218897708,-3006187.8000000007,-12.464228323896718,5.0006,5.001900000000001,5.0006
