Instance,Run,Objective,Runtime,Iterations
34,5,202,0.200003,53736
34,6,202,0.200024,53691
34,7,202,0.200001,55108
34,8,202,0.200095,50420
34,9,202,0.200004,35549
34,10,202,0.200004,49284
35,1,248,0.200003,46918
35,2,248,0.200007,46732
35,3,248,0.200001,47537
35,4,248,0.200003,46050
35,5,248,0.200006,49086
35,6,248,0.200002,50006
35,7,248,0.200002,48013
35,8,248,0.200006,47401
35,9,248,0.200003,52029
35,10,248,0.20001,52326
36,1,310,0.200003,46794
36,2,310,0.2,43117
36,3,310,0.200002,44472
36,4,310,0.200003,49542
36,5,310,0.200002,47519
36,6,310,0.200005,46555
36,7,310,0.200003,49262
36,8,310,0.200004,52979
36,9,310,0.200003,52491
36,10,310,0.200004,53282
37,1,205,0.200002,51484
37,2,205,0.200009,42673
37,3,205,0.200003,49063
37,4,205,0.200004,50708
37,5,205,0.200003,47896
37,6,205,0.200066,46867
37,7,205,0.200007,49362
37,8,205,0.200001,48561
37,9,205,0.200004,44156
37,10,205,0.200001,48263
38,1,210,0.200002,48366
38,2,210,0.200009,34872
38,3,210,0.200001,48313
38,4,210,0.200002,50114
38,5,210,0.200001,49221
38,6,210,0.200019,50053
38,7,210,0.200001,42569
38,8,210,0.200003,37343
38,9,210,0.200012,44786
38,10,210,0.200004,49732
39,1,226,0.200004,46011
39,2,226,0.200001,48566
39,3,226,0.200004,51422
39,4,226,0.200002,45547
39,5,226,0.200004,56923
39,6,226,0.200004,45058
39,7,226,0.200002,51401
39,8,226,0.200003,47588
39,9,226,0.200002,47661
39,10,226,0.200002,50273
40,1,191,0.200004,42762
40,2,191,0.200002,47637
40,3,191,0.200003,45384
40,4,191,0.200001,45573
40,5,191,0.200898,37684
40,6,191,0.200003,49585
40,7,191,0.200001,53998
40,8,191,0.200002,53609
40,9,191,0.200001,53412
40,10,191,0.200003,53566
41,1,147,0.200002,55078
41,2,147,0.200001,55079
41,3,147,0.200003,54119
41,4,147,0.2,52088
41,5,147,0.200008,50334
41,6,147,0.200003,58908
41,7,147,0.200002,47170
41,8,147,0.200001,52038
41,9,147,0.200002,52457
41,10,147,0.200005,51905
42,1,181,0.200002,51846
42,2,181,0.200002,51217
42,3,181,0.200003,49780
42,4,181,0.200002,45584
42,5,181,0.200004,49820
42,6,181,0.200003,51565
42,7,181,0.200004,48537
42,8,181,0.200002,46091
42,9,181,0.200001,47783
42,10,181,0.200002,48729
43,1,159,0.200004,50157
43,2,159,0.200003,54962
43,3,159,0.200001,51029
43,4,159,0.200002,50048
43,5,159,0.200003,54752
43,6,159,0.200003,55372
43,7,159,0.214038,49384
43,8,159,0.200004,47880
43,9,159,0.200001,51202
43,10,159,0.200005,48760
44,1,183,0.200004,45074
44,2,183,0.200001,47380
44,3,183,0.200001,50685
44,4,183,0.200002,54100
44,5,183,0.200004,52529
44,6,183,0.200001,51563
44,7,183,0.200003,50092
44,8,183,0.200162,43573
44,9,183,0.200001,48075
44,10,183,0.200006,50673
45,1,179,0.200001,47507
45,2,179,0.200001,46089
45,3,179,0.200005,45935
45,4,179,0.200005,47909
45,5,179,0.200003,44388
45,6,179,0.200003,47300
45,7,179,0.200004,48024
45,8,179,0.200005,48485
45,9,179,0.200002,52907
45,10,179,0.200002,49413
46,1,225,0.200002,44038
46,2,225,0.200001,47648
46,3,225,0.200002,47534
46,4,225,0.200025,43817
46,5,225,0.200004,46101
46,6,225,0.200006,39656
46,7,225,0.200005,45312
46,8,225,0.200002,48273
46,9,225,0.200001,48240
46,10,225,0.200005,44408
47,1,327,0.200002,49123
47,2,327,0.200003,51922
47,3,327,0.200001,52805
47,4,327,0.200005,52592
47,5,327,0.200571,53206
47,6,327,0.200004,44747
47,7,327,0.200004,54427
47,8,327,0.200004,53865
47,9,327,0.200003,51628
47,10,327,0.200003,44544
48,1,223,0.200003,45217
48,2,223,0.200004,52013
48,3,223,0.200002,51963
48,4,223,0.200004,48538
48,5,223,0.200004,53336
48,6,223,0.200002,40555
48,7,223,0.201047,40425
48,8,223,0.200002,51407
48,9,223,0.200004,46362
48,10,223,0.200003,51722
49,1,158,0.200002,44272
49,2,158,0.200003,43948
49,3,158,0.211327,38274
49,4,158,0.200003,38355
49,5,158,0.200002,42977
49,6,158,0.200002,42954
49,7,158,0.200005,42771
49,8,158,0.200005,43171
49,9,158,0.200002,43768
49,10,158,0.200003,40070
50,1,171,0.200009,42358
50,2,171,0.200004,49460
50,3,171,0.200004,54141
50,4,171,0.200003,53895
50,5,171,0.200002,50313
50,6,171,0.200002,49922
50,7,171,0.200003,53590
50,8,171,0.200002,52542
50,9,171,0.200002,52873
50,10,171,0.200001,48363
51,1,225,0.200003,52049
51,2,225,0.200001,52907
51,3,225,0.200003,51089
51,4,225,0.200009,45594
51,5,225,0.200005,50977
51,6,225,0.200003,51666
51,7,225,0.200002,52653
51,8,225,0.200003,52099
51,9,225,0.200002,53007
51,10,225,0.200003,51857
52,1,192,0.200002,53037
52,2,192,0.200001,53890
52,3,192,0.200004,54261
52,4,192,0.200002,51785
52,5,192,0.200001,52741
52,6,192,0.200004,52958
52,7,192,0.200003,53958
52,8,192,0.200005,52159
52,9,192,0.200001,50853
52,10,192,0.200001,50506
53,1,113,0.200002,52442
53,2,113,0.200004,50976
53,3,113,0.200001,50316
53,4,113,0.200001,48242
53,5,113,0.200001,51294
53,6,113,0.200001,51751
53,7,113,0.200003,50705
53,8,113,0.200003,51017
53,9,113,0.200004,51048
53,10,113,0.200001,52744
54,1,182,0.200026,50377
54,2,182,0.200004,47795
54,3,182,0.200004,52361
54,4,182,0.200002,47697
54,5,182,0.200001,48702
54,6,182,0.200002,49758
54,7,182,0.200003,50830
54,8,182,0.200001,48659
54,9,182,0.200003,44968
54,10,182,0.200003,49980
55,1,202,0.200065,43806
55,2,202,0.200003,45170
55,3,202,0.200002,44269
55,4,202,0.200004,41526
55,5,202,0.200002,46786
55,6,202,0.200002,44419
55,7,202,0.200003,46000
55,8,202,0.200003,47110
55,9,202,0.200001,35735
55,10,202,0.200002,45023
56,1,118,0.200003,45945
56,2,118,0.200003,45127
56,3,118,0.200005,51168
56,4,118,0.200003,50723
56,5,118,0.200001,52756
56,6,118,0.200003,49380
56,7,118,0.200014,53698
56,8,118,0.200007,49972
56,9,118,0.200003,50637
56,10,118,0.200002,50408
57,1,93,0.200003,51540
57,2,93,0.200002,51785
57,3,93,0.200002,51872
57,4,93,0.200002,46552
57,5,93,0.20023,42582
57,6,93,0.200005,49393
57,7,93,0.200003,51075
57,8,93,0.200001,47675
57,9,93,0.200001,50191
57,10,93,0.200002,47487
58,1,119,0.200001,48688
58,2,119,0.200001,53354
58,3,119,0.200007,50098
58,4,119,0.200002,49476
58,5,119,0.200002,52055
58,6,119,0.200001,53136
58,7,119,0.200002,49910
58,8,119,0.200003,46535
58,9,119,0.200004,54381
58,10,119,0.200001,55175
59,1,182,0.200003,42322
59,2,182,0.200002,49929
59,3,182,0.200004,48670
59,4,182,0.200004,47981
59,5,182,0.200002,48190
59,6,182,0.200004,47362
59,7,182,0.200004,44746
59,8,182,0.200005,49343
59,9,182,0.200013,43909
59,10,182,0.200001,47284
60,1,188,0.200002,43570
60,2,188,0.200001,49186
60,3,188,0.200002,49953
60,4,188,0.200007,51120
60,5,188,0.200002,48230
60,6,188,0.200002,46765
60,7,188,0.200001,49908
60,8,188,0.200001,46820
60,9,188,0.200003,50993
60,10,188,0.200001,51776
61,1,1041,0.200003,48290
61,2,1041,0.200006,48932
61,3,1041,0.200001,50425
61,4,1041,0.200003,49618
61,5,1041,0.200003,41116
61,6,1041,0.200004,41644
61,7,1041,0.200009,47170
61,8,1041,0.200003,51818
61,9,1041,0.200004,47999
61,10,1041,0.2,46272
62,1,857,0.200002,45308
