Instance,Run,Objective,Runtime,Iterations,Machs,Jobs
29,10,194,0.200004,53808,2,8
30,1,143,0.200002,53449,2,8
30,2,143,0.200004,54326,2,8
30,3,143,0.200005,55176,2,8
30,4,143,0.200001,53700,2,8
30,5,143,0.200001,54376,2,8
30,6,143,0.200002,52277,2,8
30,7,143,0.200001,52066,2,8
30,8,143,0.200002,52219,2,8
30,9,143,0.200001,53461,2,8
30,10,143,0.200002,53159,2,8
31,1,230,0.200002,52376,2,8
31,2,230,0.200002,53299,2,8
31,3,230,0.200003,52155,2,8
31,4,230,0.200004,52313,2,8
31,5,230,0.200002,52349,2,8
31,6,230,0.200002,51831,2,8
31,7,230,0.200002,52078,2,8
31,8,230,0.200003,53158,2,8
31,9,230,0.200003,48973,2,8
31,10,230,0.200003,51638,2,8
32,1,247,0.200034,43297,2,8
32,2,247,0.200002,53217,2,8
32,3,247,0.200002,53321,2,8
32,4,247,0.200003,52954,2,8
32,5,247,0.200004,52624,2,8
32,6,247,0.200002,52944,2,8
32,7,247,0.200004,51605,2,8
32,8,247,0.200002,50652,2,8
32,9,247,0.200004,50382,2,8
32,10,247,0.200003,51613,2,8
33,1,273,0.200003,51895,2,8
33,2,273,0.200003,51407,2,8
33,3,273,0.200001,46155,2,8
33,4,273,0.200002,52371,2,8
33,5,273,0.200003,53007,2,8
33,6,273,0.200003,53571,2,8
33,7,273,0.200002,52507,2,8
33,8,273,0.200002,51754,2,8
33,9,273,0.200003,54684,2,8
33,10,273,0.200004,53654,2,8
34,1,202,0.200003,53665,2,8
34,2,202,0.200003,54299,2,8
34,3,202,0.200003,53171,2,8
34,4,202,0.200002,53469,2,8
34,5,202,0.200003,53736,2,8
34,6,202,0.200024,53691,2,8
34,7,202,0.200001,55108,2,8
34,8,202,0.200095,50420,2,8
34,9,202,0.200004,35549,2,8
34,10,202,0.200004,49284,2,8
35,1,248,0.200003,46918,2,8
35,2,248,0.200007,46732,2,8
35,3,248,0.200001,47537,2,8
35,4,248,0.200003,46050,2,8
35,5,248,0.200006,49086,2,8
35,6,248,0.200002,50006,2,8
35,7,248,0.200002,48013,2,8
35,8,248,0.200006,47401,2,8
35,9,248,0.200003,52029,2,8
35,10,248,0.20001,52326,2,8
36,1,310,0.200003,46794,2,8
36,2,310,0.2,43117,2,8
36,3,310,0.200002,44472,2,8
36,4,310,0.200003,49542,2,8
36,5,310,0.200002,47519,2,8
36,6,310,0.200005,46555,2,8
36,7,310,0.200003,49262,2,8
36,8,310,0.200004,52979,2,8
36,9,310,0.200003,52491,2,8
36,10,310,0.200004,53282,2,8
37,1,205,0.200002,51484,2,8
37,2,205,0.200009,42673,2,8
37,3,205,0.200003,49063,2,8
37,4,205,0.200004,50708,2,8
37,5,205,0.200003,47896,2,8
37,6,205,0.200066,46867,2,8
37,7,205,0.200007,49362,2,8
37,8,205,0.200001,48561,2,8
37,9,205,0.200004,44156,2,8
37,10,205,0.200001,48263,2,8
38,1,210,0.200002,48366,2,8
38,2,210,0.200009,34872,2,8
38,3,210,0.200001,48313,2,8
38,4,210,0.200002,50114,2,8
38,5,210,0.200001,49221,2,8
38,6,210,0.200019,50053,2,8
38,7,210,0.200001,42569,2,8
38,8,210,0.200003,37343,2,8
38,9,210,0.200012,44786,2,8
38,10,210,0.200004,49732,2,8
39,1,226,0.200004,46011,2,8
39,2,226,0.200001,48566,2,8
39,3,226,0.200004,51422,2,8
39,4,226,0.200002,45547,2,8
39,5,226,0.200004,56923,2,8
39,6,226,0.200004,45058,2,8
39,7,226,0.200002,51401,2,8
39,8,226,0.200003,47588,2,8
39,9,226,0.200002,47661,2,8
39,10,226,0.200002,50273,2,8
40,1,191,0.200004,42762,2,8
40,2,191,0.200002,47637,2,8
40,3,191,0.200003,45384,2,8
40,4,191,0.200001,45573,2,8
40,5,191,0.200898,37684,2,8
40,6,191,0.200003,49585,2,8
40,7,191,0.200001,53998,2,8
40,8,191,0.200002,53609,2,8
40,9,191,0.200001,53412,2,8
40,10,191,0.200003,53566,2,8
41,1,147,0.200002,55078,2,8
41,2,147,0.200001,55079,2,8
41,3,147,0.200003,54119,2,8
41,4,147,0.2,52088,2,8
41,5,147,0.200008,50334,2,8
41,6,147,0.200003,58908,2,8
41,7,147,0.200002,47170,2,8
41,8,147,0.200001,52038,2,8
41,9,147,0.200002,52457,2,8
41,10,147,0.200005,51905,2,8
42,1,181,0.200002,51846,2,8
42,2,181,0.200002,51217,2,8
42,3,181,0.200003,49780,2,8
42,4,181,0.200002,45584,2,8
42,5,181,0.200004,49820,2,8
42,6,181,0.200003,51565,2,8
42,7,181,0.200004,48537,2,8
42,8,181,0.200002,46091,2,8
42,9,181,0.200001,47783,2,8
42,10,181,0.200002,48729,2,8
43,1,159,0.200004,50157,2,8
43,2,159,0.200003,54962,2,8
43,3,159,0.200001,51029,2,8
43,4,159,0.200002,50048,2,8
43,5,159,0.200003,54752,2,8
43,6,159,0.200003,55372,2,8
43,7,159,0.214038,49384,2,8
43,8,159,0.200004,47880,2,8
43,9,159,0.200001,51202,2,8
43,10,159,0.200005,48760,2,8
44,1,183,0.200004,45074,2,8
44,2,183,0.200001,47380,2,8
44,3,183,0.200001,50685,2,8
44,4,183,0.200002,54100,2,8
44,5,183,0.200004,52529,2,8
44,6,183,0.200001,51563,2,8
44,7,183,0.200003,50092,2,8
44,8,183,0.200162,43573,2,8
44,9,183,0.200001,48075,2,8
44,10,183,0.200006,50673,2,8
45,1,179,0.200001,47507,2,8
45,2,179,0.200001,46089,2,8
45,3,179,0.200005,45935,2,8
45,4,179,0.200005,47909,2,8
45,5,179,0.200003,44388,2,8
45,6,179,0.200003,47300,2,8
45,7,179,0.200004,48024,2,8
45,8,179,0.200005,48485,2,8
45,9,179,0.200002,52907,2,8
45,10,179,0.200002,49413,2,8
46,1,225,0.200002,44038,2,8
46,2,225,0.200001,47648,2,8
46,3,225,0.200002,47534,2,8
46,4,225,0.200025,43817,2,8
46,5,225,0.200004,46101,2,8
46,6,225,0.200006,39656,2,8
46,7,225,0.200005,45312,2,8
46,8,225,0.200002,48273,2,8
46,9,225,0.200001,48240,2,8
46,10,225,0.200005,44408,2,8
47,1,327,0.200002,49123,2,8
47,2,327,0.200003,51922,2,8
47,3,327,0.200001,52805,2,8
47,4,327,0.200005,52592,2,8
47,5,327,0.200571,53206,2,8
47,6,327,0.200004,44747,2,8
47,7,327,0.200004,54427,2,8
47,8,327,0.200004,53865,2,8
47,9,327,0.200003,51628,2,8
47,10,327,0.200003,44544,2,8
48,1,223,0.200003,45217,2,8
48,2,223,0.200004,52013,2,8
48,3,223,0.200002,51963,2,8
48,4,223,0.200004,48538,2,8
48,5,223,0.200004,53336,2,8
48,6,223,0.200002,40555,2,8
48,7,223,0.201047,40425,2,8
48,8,223,0.200002,51407,2,8
48,9,223,0.200004,46362,2,8
48,10,223,0.200003,51722,2,8
49,1,158,0.200002,44272,2,8
49,2,158,0.200003,43948,2,8
49,3,158,0.211327,38274,2,8
49,4,158,0.200003,38355,2,8
49,5,158,0.200002,42977,2,8
49,6,158,0.200002,42954,2,8
49,7,158,0.200005,42771,2,8
49,8,158,0.200005,43171,2,8
